"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USC00254101",1997,6,"TMAX",283," "," ","0",283," "," ","0",244," "," ","0",194," "," ","0",228," "," ","0",233," "," ","0",256," "," ","0",256," "," ","0",256," "," ","0",211," "," ","0",211," "," ","0",272," "," ","0",194," "," ","0",206," "," ","0",239," "," ","0",261," "," ","0",261," "," ","0",222," "," ","0",311," "," ","0",333," "," ","0",306," "," ","0",289," "," ","0",322," "," ","0",283," "," ","0",250," "," ","0",178," "," ","0",272," "," ","0",361," "," ","0",344," "," ","0",278," "," ","0",NA," "," "," "
"2","USC00254101",1997,6,"TMIN",128," "," ","0",122," "," ","0",133," "," ","0",67," "," ","0",100," "," ","0",89," "," ","0",111," "," ","0",150," "," ","0",117," "," ","0",67," "," ","0",117," "," ","0",111," "," ","0",100," "," ","0",83," "," ","0",106," "," ","0",111," "," ","0",83," "," ","0",122," "," ","0",122," "," ","0",139," "," ","0",167," ","I","0",167," "," ","0",167," "," ","0",150," "," ","0",111," "," ","0",33," "," ","0",100," "," ","0",167," "," ","0",178," "," ","0",172," "," ","0",NA," "," "," "
"3","USC00254101",1997,6,"TOBS",144," "," ","0",139," "," ","0",133," "," ","0",100," "," ","0",139," "," ","0",156," "," ","0",150," "," ","0",189," "," ","0",139," "," ","0",117," "," ","0",150," "," ","0",156," "," ","0",167," "," ","0",150," "," ","0",156," "," ","0",156," "," ","0",172," "," ","0",144," "," ","0",156," "," ","0",139," ","I","0",167," "," ","0",200," "," ","0",178," "," ","0",172," "," ","0",128," "," ","0",100," "," ","0",183," "," ","0",217," "," ","0",217," "," ","0",189," "," ","0",NA," "," "," "
"4","USC00254101",1997,6,"PRCP",0," "," ","0",53," "," ","0",251," "," ","0",10," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",84," "," ","0",0," "," ","0",0," "," ","0",25," "," ","0",0,"T"," ","0",0," "," ","0",0," "," ","0",104," "," ","0",0," "," ","0",30," "," ","0",25," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",5," "," ","0",13," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",NA," "," "," "
"5","USC00254101",1997,6,"SNOW",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",NA," "," "," "
"6","USC00254101",1997,6,"SNWD",NA," "," "," ",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",NA," "," "," "
"7","USC00254101",1997,7,"TMAX",317," "," ","0",283," "," ","0",233," "," ","0",194," "," ","0",256," "," ","0",256," "," ","0",261," "," ","0",294," "," ","0",306," "," ","0",294," "," ","0",328," "," ","0",306," "," ","0",306," "," ","0",250," "," ","0",300," "," ","0",356," "," ","0",372," "," ","0",372," "," ","0",356," "," ","0",317," "," ","0",317," "," ","0",294," "," ","0",322," "," ","0",356," "," ","0",339," "," ","0",361," "," ","0",344," "," ","0",272," "," ","0",272," "," ","0",161," "," ","0",200," "," ","0"
"8","USC00254101",1997,7,"TMIN",172," "," ","0",83," "," ","0",100," "," ","0",17," "," ","0",17," "," ","0",111," "," ","0",144," "," ","0",156," "," ","0",139," "," ","0",172," "," ","0",150," "," ","0",139," "," ","0",133," "," ","0",106," "," ","0",139," "," ","0",150," "," ","0",161," "," ","0",183," "," ","0",172," "," ","0",156," "," ","0",172," "," ","0",144," "," ","0",178," "," ","0",178," "," ","0",172," "," ","0",161," "," ","0",178," "," ","0",167," "," ","0",144," "," ","0",144," "," ","0",172," ","I","0"
"9","USC00254101",1997,7,"TOBS",200," "," ","0",106," "," ","0",106," "," ","0",128," "," ","0",194," "," ","0",156," "," ","0",167," "," ","0",178," "," ","0",178," "," ","0",189," "," ","0",189," "," ","0",167," "," ","0",167," "," ","0",133," "," ","0",178," "," ","0",183," "," ","0",189," "," ","0",222," "," ","0",194," "," ","0",172," "," ","0",189," "," ","0",206," "," ","0",222," "," ","0",200," "," ","0",211," "," ","0",178," "," ","0",194," "," ","0",189," "," ","0",144," "," ","0",161," "," ","0",178," "," ","0"
"10","USC00254101",1997,7,"PRCP",0," "," ","0",0," "," ","0",0,"T"," ","0",0,"T"," ","0",0," "," ","0",10," "," ","0",0," "," ","0",0," "," ","0",130," "," ","0",0," "," ","0",117," "," ","0",168," "," ","0",79," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",145," "," ","0",20," "," ","0",0," "," ","0",20," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",76," "," ","0",56," "," ","0",3," "," ","0"
"11","USC00254101",1997,7,"SNOW",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0"
"12","USC00254101",1997,7,"SNWD",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0"
"13","USC00254101",1997,8,"TMAX",289," "," ","0",311," "," ","0",333," "," ","0",311," "," ","0",311," "," ","0",233," "," ","0",244," "," ","0",272," "," ","0",289," "," ","0",228," "," ","0",128," "," ","0",172," "," ","0",244," "," ","0",294," "," ","0",267," "," ","0",311," "," ","0",244," "," ","0",239," "," ","0",267," "," ","0",283," "," ","0",NA," "," "," ",283," "," ","0",311," "," ","0",339," "," ","0",350," "," ","0",311," "," ","0",317," "," ","0",317," "," ","0",317," "," ","0",333," "," ","0",267," "," ","0"
"14","USC00254101",1997,8,"TMIN",172," "," ","0",144," "," ","0",156," "," ","0",139," "," ","0",161," "," ","0",150," "," ","0",67," "," ","0",117," "," ","0",150," "," ","0",111," "," ","0",100," "," ","0",100," "," ","0",144," "," ","0",122," "," ","0",122," "," ","0",111," "," ","0",117," "," ","0",111," "," ","0",144," "," ","0",89," "," ","0",NA," "," "," ",133," "," ","0",133," "," ","0",111," "," ","0",111," "," ","0",144," "," ","0",144," "," ","0",139," "," ","0",133," "," ","0",139," "," ","0",172," "," ","0"
