"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000IFIS",1985,1,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-20,"H"," ","U",-40,"H"," ","U",-50,"H"," ","U",-70,"H"," ","U",NA," "," "," ",-60,"H"," ","U",-50,"H"," ","U",-100,"H"," ","U",-110,"H"," ","U"
"2","USR0000IFIS",1985,1,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-70,"H"," ","U",-110,"H"," ","U",-110,"H"," ","U",-100,"H"," ","U",NA," "," "," ",-90,"H"," ","U",-90,"H"," ","U",-190,"H"," ","U",-210,"H"," ","U"
"3","USR0000IFIS",1985,1,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-56," "," ","U",-75," "," ","U",-81," "," ","U",-89," "," ","U",NA," "," "," ",-79," "," ","U",-81," "," ","U",-146," "," ","U",-162," "," ","U"
"4","USR0000IFIS",1985,2,"TMAX",-90,"H"," ","U",-100,"H"," ","U",-110,"H"," ","U",-130,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",-30,"H"," ","U",-30,"H"," ","U",0,"H"," ","U",0,"H"," ","U",10,"H"," ","U",70,"H"," ","U",20,"H"," ","U",0,"H"," ","U",10,"H"," ","U",40,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",0,"H"," ","U",30,"H"," ","U",30,"H"," ","U",20,"H"," ","U",0,"H"," ","U",30,"H"," ","U",20,"H"," ","U",70,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," "
"5","USR0000IFIS",1985,2,"TMIN",-190,"H"," ","U",-220,"H"," ","U",-230,"H"," ","U",-230,"H"," ","U",-130,"H"," ","U",-120,"H"," ","U",-60,"H"," ","U",-70,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",-50,"H"," ","U",-80,"H"," ","U",-110,"H"," ","U",-10,"H"," ","U",-40,"H"," ","U",-90,"H"," ","U",-90,"H"," ","U",-70,"H"," ","U",-10,"H"," ","U",-80,"H"," ","U",-50,"H"," ","U",-10,"H"," ","U",10,"H"," ","U",-30,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",-70,"H"," ","U",-10,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," "
"6","USR0000IFIS",1985,2,"TAVG",-149," "," ","U",-157," "," ","U",-179," "," ","U",-176," "," ","U",-106," "," ","U",-82," "," ","U",-41," "," ","U",-48," "," ","U",-50," "," ","U",-47," "," ","U",-17," "," ","U",-31," "," ","U",-56," "," ","U",33," "," ","U",-4," "," ","U",-45," "," ","U",-46," "," ","U",-18," "," ","U",1," "," ","U",-42," "," ","U",-19," "," ","U",4," "," ","U",20," "," ","U",-8," "," ","U",-36," "," ","U",-24," "," ","U",-18," "," ","U",19," "," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," "
"7","USR0000IFIS",1985,3,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",20,"H","S","U",120,"H"," ","U",110,"H"," ","U",50,"H"," ","U",0,"H"," ","U",0,"H"," ","U",20,"H"," ","U",0,"H"," ","U",0,"H"," ","U",10,"H"," ","U",0,"H"," ","U",10,"H"," ","U",20,"H"," ","U",NA," "," "," ",70,"H"," ","U"
"8","USR0000IFIS",1985,3,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"H"," ","U",-20,"H"," ","U",-10,"H"," ","U",0,"H"," ","U",-40,"H"," ","U",-30,"H"," ","U",-20,"H"," ","U",-80,"H"," ","U",-90,"H"," ","U",-90,"H"," ","U",-60,"H"," ","U",-80,"H"," ","U",-50,"H"," ","U",NA," "," "," ",10,"H"," ","U"
"9","USR0000IFIS",1985,3,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",8," "," ","U",38," "," ","U",31," "," ","U",16," "," ","U",-21," "," ","U",-16," "," ","U",1," "," ","U",-21," "," ","U",-50," "," ","U",-35," "," ","U",-26," "," ","U",-30," "," ","U",-17," "," ","U",NA," "," "," ",33," "," ","U"
"10","USR0000IFIS",1985,4,"TMAX",110,"H"," ","U",90,"H"," ","U",60,"H"," ","U",40,"H"," ","U",80,"H"," ","U",120,"H"," ","U",130,"H"," ","U",140,"H"," ","U",170,"H"," ","U",180,"H"," ","U",110,"H"," ","U",140,"H"," ","U",170,"H"," ","U",180,"H"," ","U",140,"H"," ","U",80,"H"," ","U",110,"H"," ","U",30,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",10,"H"," ","U",10,"H"," ","U",20,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",140,"H"," ","U",140,"H"," ","U",140,"H"," ","U",190,"H"," ","U",NA," "," "," "
