"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USS0003E05S",1996,8,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",327," "," ","T",269," "," ","T",237," "," ","T",200," "," ","T",271," "," ","T",301," "," ","T",272," "," ","T",218," "," ","T",304," "," ","T",217," "," ","T",243," "," ","T",276," "," ","T",317," "," ","T",282," "," ","T",249," "," ","T",274," "," ","T",274," "," ","T",173," "," ","T",225," "," ","T",269," "," ","T"
"2","USS0003E05S",1996,8,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",125," "," ","T",102," "," ","T",107," "," ","T",80," "," ","T",87," "," ","T",94," "," ","T",81," "," ","T",52," "," ","T",82," "," ","T",36," "," ","T",26," "," ","T",101," "," ","T",97," "," ","T",78," "," ","T",57," "," ","T",98," "," ","T",91," "," ","T",76," "," ","T",67," "," ","T",72," "," ","T"
"3","USS0003E05S",1996,8,"TOBS",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",125," "," ","T",132," "," ","T",121," "," ","T",95," "," ","T",93," "," ","T",153," "," ","T",81," "," ","T",86," "," ","T",171," "," ","T",37," "," ","T",105," "," ","T",152," "," ","T",109," "," ","T",78," "," ","T",125," "," ","T",101," "," ","T",101," "," ","T",76," "," ","T",82," "," ","T",116," "," ","T"
"4","USS0003E05S",1996,8,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",25," "," ","T",76," "," ","T",25," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",NA," "," "," ",0," "," ","T",25," "," ","T",0," "," ","T",NA," "," "," ",25," "," ","T",25," "," ","T",102," "," ","T",279," "," ","T",25," "," ","T",0," "," ","T"
"5","USS0003E05S",1996,8,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",212," "," ","T",169," "," ","T",156," "," ","T",125," "," ","T",161," "," ","T",194," "," ","T",169," "," ","T",123," "," ","T",191," "," ","T",142," "," ","T",131," "," ","T",172," "," ","T",185," "," ","T",171," "," ","T",126," "," ","T",181," "," ","T",169," "," ","T",107," "," ","T",130," "," ","T",158," "," ","T"
"6","USS0003E05S",1996,8,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
"7","USS0003E05S",1996,9,"TMAX",212," "," ","T",180," "," ","T",243," "," ","T",297," "," ","T",288," "," ","T",148," "," ","T",217," "," ","T",251," "," ","T",260," "," ","T",223," "," ","T",188," "," ","T",202," "," ","T",212," "," ","T",221," "," ","T",173," "," ","T",213," "," ","T",125," "," ","T",65," "," ","T",111," "," ","T",65," "," ","T",133," "," ","T",161," "," ","T",105," "," ","T",147," "," ","T",13," "," ","T",16," "," ","T",68," "," ","T",171," "," ","T",211," "," ","T",245," "," ","T",NA," "," "," "
"8","USS0003E05S",1996,9,"TMIN",49," "," ","T",52," "," ","T",62," "," ","T",91," "," ","T",109," "," ","T",-1," "," ","T",-13," "," ","T",36," "," ","T",66," "," ","T",55," "," ","T",29," "," ","T",32," "," ","T",76," "," ","T",73," "," ","T",60," "," ","T",52," "," ","T",33," "," ","T",-13," "," ","T",-8," "," ","T",13," "," ","T",-13," "," ","T",-2," "," ","T",-39," "," ","T",0," "," ","T",-42," "," ","T",-41," "," ","T",-55," "," ","T",27," "," ","T",14," "," ","T",32," "," ","T",NA," "," "," "
"9","USS0003E05S",1996,9,"TOBS",65," "," ","T",69," "," ","T",91," "," ","T",185," "," ","T",109," "," ","T",-1," "," ","T",50," "," ","T",83," "," ","T",68," "," ","T",55," "," ","T",53," "," ","T",104," "," ","T",88," "," ","T",98," "," ","T",60," "," ","T",90," "," ","T",35," "," ","T",-9," "," ","T",37," "," ","T",13," "," ","T",6," "," ","T",26," "," ","T",5," "," ","T",6," "," ","T",-27," "," ","T",-39," "," ","T",57," "," ","T",27," "," ","T",38," "," ","T",65," "," ","T",NA," "," "," "
"10","USS0003E05S",1996,9,"PRCP",0," "," ","T",279," "," ","T",0," "," ","T",51," "," ","T",51," "," ","T",25," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",102," "," ","T",0," "," ","T",76," "," ","T",51," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",102," "," ","T",0," "," ","T",51," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",NA," "," "," "
