"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USS0006H24S",1999,6,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",2616," "," ","T",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"2","USS0006H24S",2003,9,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",NA," "," "," "
"3","USS0006H24S",2003,10,"TMAX",NA," "," "," ",116," "," ","T",113," "," ","T",143," "," ","T",159," "," ","T",154," "," ","T",157," "," ","T",156," "," ","T",180," "," ","T",168," "," ","T",86," "," ","T",139," "," ","T",47," "," ","T",99," "," ","T",87," "," ","T",108," "," ","T",156," "," ","T",176," "," ","T",183," "," ","T",169," "," ","T",183," "," ","T",197," "," ","T",165," "," ","T",84," "," ","T",17," "," ","T",39," "," ","T",91," "," ","T",82," "," ","T",127," "," ","T",-6," "," ","T",31," "," ","T"
"4","USS0006H24S",2003,10,"TMIN",NA," "," "," ",25," "," ","T",-1," "," ","T",-5," "," ","T",-5," "," ","T",4," "," ","T",18," "," ","T",5," "," ","T",25," "," ","T",-35," "," ","T",-61," "," ","T",9," "," ","T",-33," "," ","T",-52," "," ","T",30019," ","X","T",27," "," ","T",-10," "," ","T",11," "," ","T",8," "," ","T",30," "," ","T",38," "," ","T",25," "," ","T",10," "," ","T",-84," "," ","T",-99," "," ","T",-55," "," ","T",-5," "," ","T",-5," "," ","T",-7," "," ","T",-124," "," ","T",-116," "," ","T"
"5","USS0006H24S",2003,10,"TOBS",NA," "," "," ",26," "," ","T",2," "," ","T",6," "," ","T",14," "," ","T",27," "," ","T",23," "," ","T",39," "," ","T",59," "," ","T",-35," "," ","T",11," "," ","T",40," "," ","T",-33," "," ","T",0," "," ","T",42," "," ","T",31," "," ","T",49," "," ","T",39," "," ","T",63," "," ","T",54," "," ","T",54," "," ","T",63," "," ","T",12," "," ","T",-84," "," ","T",-55," "," ","T",1," "," ","T",23," "," ","T",34," "," ","T",-7," "," ","T",-101," "," ","T",-21," "," ","T"
"6","USS0006H24S",2003,10,"PRCP",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",127," "," ","T"
"7","USS0006H24S",2003,10,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",51," "," ","T",102," "," ","T"
"8","USS0006H24S",2003,10,"TAVG",NA," "," "," ",52," "," ","T",41," "," ","T",53," "," ","T",54," "," ","T",67," "," ","T",63," "," ","T",63," "," ","T",91," "," ","T",61," "," ","T",4," "," ","T",64," "," ","T",1," "," ","T",18," "," ","T",26," "," ","T",53," "," ","T",68," "," ","T",82," "," ","T",84," "," ","T",85," "," ","T",92," "," ","T",92," "," ","T",83," "," ","T",9," "," ","T",-49," "," ","T",-6," "," ","T",33," "," ","T",36," "," ","T",47," "," ","T",-79," "," ","T",-52," "," ","T"
"9","USS0006H24S",2003,10,"WESD",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",102," "," ","T"
"10","USS0006H24S",2003,11,"TMAX",-1," "," ","T",3," "," ","T",32," "," ","T",-40," "," ","T",-44," "," ","T",-28," "," ","T",-9," "," ","T",21," "," ","T",23," "," ","T",-9," "," ","T",-19," "," ","T",6," "," ","T",78," "," ","T",-18," "," ","T",3," "," ","T",17," "," ","T",-34," "," ","T",-23," "," ","T",33," "," ","T",55," "," ","T",16," "," ","T",-104," "," ","T",-129," "," ","T",-35," "," ","T",-68," "," ","T",-77," "," ","T",-92," "," ","T",-28," "," ","T",23," "," ","T",20," "," ","T",NA," "," "," "
