"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","US1ARSR0009",2018,1,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",13," "," ","N",0,"T"," ","N",0," "," ","N",0,"T"," ","N",8," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",NA," "," "," ",0," "," ","N",0,"T"," ","N",241," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",137," "," ","N",8," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N"
"2","US1ARSR0009",2018,2,"PRCP",0," "," ","N",0," "," ","N",0," "," ","N",3," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",8," "," ","N",5," "," ","N",0,"T"," ","N",0," "," ","N",3," "," ","N",0," "," ","N",23," "," ","N",218," "," ","N",NA," "," "," ",5," "," ","N",71," "," ","N",874," "," ","N",292," "," ","N",213," "," ","N",97," "," ","N",394," "," ","N",0," "," ","N",0," "," ","N",127," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," "
"3","US1ARSR0009",2018,3,"PRCP",89," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",74," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",13," "," ","N",3," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",8," "," ","N",0," "," ","N",0," "," ","N",102," "," ","N",8," "," ","N",10," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",89," "," ","N",3," "," ","N",556," "," ","N",23," "," ","N",208," "," ","N",5," "," ","N"
"4","US1ARSR0009",2018,4,"PRCP",10," "," ","N",43," "," ","N",3," "," ","N",30," "," ","N",0," "," ","N",0," "," ","N",8," "," ","N",8," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",533," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",38," "," ","N",335," "," ","N",10," "," ","N",0," "," ","N",147," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," "
"5","US1ARSR0009",2018,5,"PRCP",0," "," ","N",0," "," ","N",282," "," ","N",348," "," ","N",8," "," ","N",0," "," ","N",10," "," ","N",0," "," ","N",0,"T"," ","N",5," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",10," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",5," "," ","N",5," "," ","N",241," "," ","N",89," "," ","N",5," "," ","N",198," "," ","N",13," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N"
"6","US1ARSR0009",2018,6,"PRCP",53," "," ","N",467," "," ","N",279," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",38," "," ","N",5," "," ","N",36," "," ","N",3," "," ","N",130," "," ","N",0," "," ","N",5," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," "
"7","US1ARSR0009",2018,7,"PRCP",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",53," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",8," "," ","N",25," "," ","N",23," "," ","N",13," "," ","N",76," "," ","N",53," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",8," "," ","N",290," "," ","N"
"8","US1ARSR0009",2018,8,"PRCP",15," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",157," "," ","N",58," "," ","N",23," "," ","N",0," "," ","N",NA," "," "," ",231," "," ","N",157," "," ","N",234," "," ","N",150," "," ","N",284," "," ","N",546," "," ","N",0," "," ","N",643," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",10," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",81," "," ","N",160," "," ","N"
"9","US1ARSR0009",2018,9,"PRCP",5," "," ","N",0," "," ","N",20," "," ","N",3," "," ","N",3," "," ","N",5," "," ","N",239," "," ","N",46," "," ","N",43," "," ","N",10," "," ","N",0," "," ","N",0," "," ","N",5," "," ","N",3," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",20," "," ","N",0," "," ","N",330," "," ","N",145," "," ","N",465," "," ","N",8," "," ","N",3," "," ","N",18," "," ","N",5," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," "
"10","US1ARSR0009",2018,10,"PRCP",0," "," ","N",30," "," ","N",5," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",18," "," ","N",0," "," ","N",495," "," ","N",0," "," ","N",0," "," ","N",13," "," ","N",229," "," ","N",150," "," ","N",41," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",241," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",86," "," ","N",64," "," ","N",5," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",58," "," ","N"
