"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000DIAM",1983,11,"TMAX",130,"H"," ","U",92,"H"," ","U",117,"H"," ","U",129,"H"," ","U",102,"H"," ","U",120,"H"," ","U",96,"H"," ","U",7,"H"," ","U",-11,"H"," ","U",22,"H"," ","U",31,"H"," ","U",77,"H"," ","U",52,"H"," ","U",33,"H"," ","U",12,"H"," ","U",43,"H"," ","U",54,"H"," ","U",27,"H"," ","U",0,"H"," ","U",-17,"H"," ","U",-13,"H"," ","U",-35,"H"," ","U",-51,"H"," ","U",-36,"H"," ","U",13,"H"," ","U",-52,"H"," ","U",-42,"H"," ","U",-19,"H"," ","U",-48,"H"," ","U",-46,"H"," ","U",NA," "," "," "
"2","USR0000DIAM",1983,11,"TMIN",49,"H"," ","U",32,"H"," ","U",22,"H"," ","U",32,"H"," ","U",31,"H"," ","U",22,"H"," ","U",11,"H"," ","U",-81,"H"," ","U",-98,"H"," ","U",-46,"H"," ","U",-26,"H"," ","U",-27,"H"," ","U",-8,"H"," ","U",-67,"H"," ","U",-63,"H"," ","U",-43,"H"," ","U",-7,"H"," ","U",-46,"H"," ","U",-64,"H"," ","U",-49,"H"," ","U",-93,"H"," ","U",-150,"H"," ","U",-156,"H"," ","U",-112,"H"," ","U",-47,"H"," ","U",-106,"H"," ","U",-92,"H"," ","U",-82,"H"," ","U",-122,"H"," ","U",-135,"H"," ","U",NA," "," "," "
"3","USR0000DIAM",1983,11,"TAVG",84," "," ","U",56," "," ","U",60," "," ","U",74," "," ","U",61," "," ","U",68," "," ","U",61," "," ","U",-36," "," ","U",-50," "," ","U",-14," "," ","U",8," "," ","U",11," "," ","U",14," "," ","U",-22," "," ","U",-26," "," ","U",-3," "," ","U",12," "," ","U",-12," "," ","U",-34," "," ","U",-29," "," ","U",-40," "," ","U",-108," "," ","U",-111," "," ","U",-65," "," ","U",-20," "," ","U",-81," "," ","U",-62," "," ","U",-67," "," ","U",-85," "," ","U",-79," "," ","U",NA," "," "," "
"4","USR0000DIAM",1983,12,"TMAX",-23,"H"," ","U",-1,"H"," ","U",-22,"H"," ","U",10,"H"," ","U",-75,"H"," ","U",-74,"H"," ","U",37,"H"," ","U",13,"H"," ","U",8,"H"," ","U",-17,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",-19,"H"," ","U",15,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"5","USR0000DIAM",1983,12,"TMIN",-52,"H"," ","U",-76,"H"," ","U",-72,"H"," ","U",-117,"H"," ","U",-162,"H"," ","U",-160,"H"," ","U",-67,"H"," ","U",-44,"H"," ","U",-38,"H"," ","U",-26,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",-400,"H","O","U",-58,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"6","USR0000DIAM",1983,12,"TAVG",-33," "," ","U",-36," "," ","U",-49," "," ","U",-49," "," ","U",-128," "," ","U",-104," "," ","U",-29," "," ","U",-18," "," ","U",-18," "," ","U",-21," "," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",-73," "," ","U",-33," "," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"7","USR0000DIAM",1984,1,"TMAX",NA," "," "," ",NA," "," "," ",23,"H"," ","U",72,"H"," ","U",67,"H"," ","U",104,"H"," ","U",84,"H"," ","U",67,"H"," ","U",66,"H"," ","U",-10,"H"," ","U",-19,"H"," ","U",23,"H"," ","U",-43,"H"," ","U",-68,"H"," ","U",-34,"H"," ","U",-79,"H"," ","U",-136,"H"," ","U",-132,"H"," ","U",-81,"H"," ","U",-46,"H"," ","U",-69,"H"," ","U",-13,"H"," ","U",-11,"H"," ","U",-6,"H"," ","U",10,"H"," ","U",-17,"H"," ","U",13,"H"," ","U",29,"H"," ","U",64,"H"," ","U",22,"H"," ","U",25,"H"," ","U"
"8","USR0000DIAM",1984,1,"TMIN",NA," "," "," ",NA," "," "," ",-33,"H"," ","U",-32,"H"," ","U",-24,"H"," ","U",-7,"H","S","U",-7,"H","S","U",-28,"H"," ","U",-65,"H"," ","U",-73,"H"," ","U",-63,"H"," ","U",-400,"H","G","U",-106,"H"," ","U",-131,"H"," ","U",-167,"H"," ","U",-183,"H"," ","U",-235,"H"," ","U",-234,"H"," ","U",-154,"H"," ","U",-167,"H"," ","U",-165,"H"," ","U",-96,"H"," ","U",-102,"H"," ","U",-73,"H"," ","U",-67,"H"," ","U",-66,"H"," ","U",-88,"H"," ","U",-52,"H"," ","U",-44,"H"," ","U",-69,"H"," ","U",-51,"H"," ","U"
"9","USR0000DIAM",1984,1,"TAVG",NA," "," "," ",NA," "," "," ",-8," "," ","U",6," "," ","U",24," "," ","U",32," "," ","U",18," "," ","U",3," "," ","U",-22," "," ","U",-53," "," ","U",-35," "," ","U",-119," "," ","U",-76," "," ","U",-94," "," ","U",-124," "," ","U",-134," "," ","U",-182," "," ","U",-203," "," ","U",-123," "," ","U",-129," "," ","U",-108," "," ","U",-68," "," ","U",-66," "," ","U",-43," "," ","U",-28," "," ","U",-41," "," ","U",-39," "," ","U",-9," "," ","U",-8," "," ","U",-31," "," ","U",-23," "," ","U"
"10","USR0000DIAM",1984,2,"TMAX",2,"H"," ","U",-49,"H"," ","U",NA," "," "," ",-13,"H"," ","U",57,"H"," ","U",68,"H"," ","U",-30,"H"," ","U",-43,"H"," ","U",11,"H"," ","U",-11,"H"," ","U",-53,"H"," ","U",19,"H"," ","U",-8,"H"," ","U",-20,"H"," ","U",-120,"H","I","U",-47,"H"," ","U",-57,"H"," ","U",-25,"H"," ","U",-21,"H"," ","U",-43,"H"," ","U",-38,"H"," ","U",-33,"H"," ","U",-32,"H"," ","U",-23,"H"," ","U",-52,"H"," ","U",-19,"H"," ","U",-14,"H"," ","U",-49,"H"," ","U",93,"H"," ","U",NA," "," "," ",NA," "," "," "
