"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000MBCB",1985,7,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",340,"H"," ","U",250,"H"," ","U",330,"H"," ","U",910,"H","X","U",289,"H"," ","U",267,"H"," ","U",250,"H"," ","U",233,"H"," ","U",261,"H"," ","U",278,"H"," ","U",283,"H"," ","U",222,"H"," ","U",267,"H"," ","U",294,"H"," ","U",311,"H"," ","U",322,"H"," ","U",289,"H"," ","U",244,"H"," ","U",233,"H"," ","U",272,"H"," ","U",283,"H"," ","U",278,"H"," ","U",306,"H"," ","U",278,"H"," ","U",256,"H"," ","U",278,"H"," ","U"
"2","USR0000MBCB",1985,7,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",180,"H"," ","U",130,"H"," ","U",160,"H"," ","U",190,"H"," ","U",217,"H"," ","U",156,"H"," ","U",139,"H"," ","U",117,"H"," ","U",111,"H"," ","U",150,"H"," ","U",156,"H"," ","U",122,"H"," ","U",83,"H"," ","U",133,"H"," ","U",161,"H"," ","U",172,"H"," ","U",189,"H"," ","U",122,"H"," ","U",100,"H"," ","U",122,"H"," ","U",161,"H"," ","U",133,"H"," ","U",133,"H"," ","U",139,"H"," ","U",133,"H"," ","U",128,"H"," ","U"
"3","USR0000MBCB",1985,7,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",260," "," ","U",176," "," ","U",212," "," ","U",326," "," ","U",250," "," ","U",213," "," ","U",207," "," ","U",175," "," ","U",163," "," ","U",228," "," ","U",212," "," ","U",158," "," ","U",177," "," ","U",206," "," ","U",259," "," ","U",249," "," ","U",230," "," ","U",191," "," ","U",165," "," ","U",194," "," ","U",220," "," ","U",209," "," ","U",221," "," ","U",222," "," ","U",200," "," ","U",188," "," ","U"
"4","USR0000MBCB",1985,8,"TMAX",228,"H"," ","U",200,"H"," ","U",244,"H"," ","U",233,"H"," ","U",222,"H"," ","U",256,"H"," ","U",217,"H"," ","U",122,"H"," ","U",111,"H"," ","U",100,"H"," ","U",167,"H"," ","U",150,"H"," ","U",189,"H"," ","U",222,"H"," ","U",161,"H"," ","U",189,"H"," ","U",244,"H"," ","U",278,"H"," ","U",233,"H"," ","U",183,"H"," ","U",122,"H"," ","U",189,"H"," ","U",256,"H"," ","U",278,"H"," ","U",267,"H"," ","U",272,"H"," ","U",272,"H"," ","U",244,"H"," ","U",278,"H"," ","U",178,"H"," ","U",183,"H"," ","U"
"5","USR0000MBCB",1985,8,"TMIN",117,"H"," ","U",111,"H"," ","U",128,"H"," ","U",100,"H"," ","U",72,"H"," ","U",100,"H"," ","U",128,"H"," ","U",61,"H"," ","U",56,"H"," ","U",56,"H"," ","U",39,"H"," ","U",72,"H"," ","U",33,"H"," ","U",83,"H"," ","U",72,"H"," ","U",44,"H"," ","U",72,"H"," ","U",100,"H"," ","U",128,"H"," ","U",94,"H"," ","U",56,"H"," ","U",56,"H"," ","U",83,"H"," ","U",128,"H"," ","U",161,"H"," ","U",128,"H"," ","U",133,"H"," ","U",100,"H"," ","U",100,"H"," ","U",106,"H"," ","U",83,"H"," ","U"
"6","USR0000MBCB",1985,8,"TAVG",177," "," ","U",148," "," ","U",184," "," ","U",172," "," ","U",151," "," ","U",175," "," ","U",162," "," ","U",88," "," ","U",82," "," ","U",78," "," ","U",107," "," ","U",102," "," ","U",104," "," ","U",153," "," ","U",109," "," ","U",107," "," ","U",153," "," ","U",186," "," ","U",167," "," ","U",123," "," ","U",83," "," ","U",122," "," ","U",164," "," ","U",195," "," ","U",212," "," ","U",202," "," ","U",177," "," ","U",173," "," ","U",209," "," ","U",149," "," ","U",126," "," ","U"
"7","USR0000MBCB",1985,9,"TMAX",172,"H"," ","U",161,"H"," ","U",139,"H"," ","U",183,"H"," ","U",133,"H"," ","U",33,"H","I","U",61,"H"," ","U",NA," "," "," ",94,"H"," ","U",189,"H"," ","U",200,"H"," ","U",89,"H"," ","U",150,"H"," ","U",128,"H"," ","U",106,"H"," ","U",78,"H"," ","U",72,"H"," ","U",83,"H"," ","U",111,"H"," ","U",128,"H"," ","U",117,"H"," ","U",111,"H"," ","U",94,"H"," ","U",156,"H"," ","U",172,"H"," ","U",156,"H"," ","U",56,"H"," ","U",83,"H"," ","U",133,"H"," ","U",156,"H"," ","U",NA," "," "," "
"8","USR0000MBCB",1985,9,"TMIN",61,"H"," ","U",67,"H"," ","U",83,"H"," ","U",122,"H"," ","U",78,"H","I","U",17,"H"," ","U",11,"H"," ","U",NA," "," "," ",33,"H"," ","U",61,"H"," ","U",72,"H"," ","U",67,"H"," ","U",61,"H"," ","U",50,"H"," ","U",44,"H"," ","U",39,"H"," ","U",17,"H"," ","U",6,"H"," ","U",28,"H"," ","U",11,"H"," ","U",33,"H"," ","U",-6,"H"," ","U",-6,"H"," ","U",44,"H"," ","U",17,"H"," ","U",56,"H"," ","U",-33,"H"," ","U",-67,"H"," ","U",-39,"H"," ","U",-11,"H"," ","U",NA," "," "," "
"9","USR0000MBCB",1985,9,"TAVG",116," "," ","U",109," "," ","U",114," "," ","U",152," "," ","U",103," "," ","U",24," "," ","U",32," "," ","U",NA," "," "," ",73," "," ","U",117," "," ","U",128," "," ","U",77," "," ","U",103," "," ","U",79," "," ","U",73," "," ","U",54," "," ","U",46," "," ","U",41," "," ","U",56," "," ","U",73," "," ","U",78," "," ","U",59," "," ","U",50," "," ","U",94," "," ","U",97," "," ","U",101," "," ","U",21," "," ","U",1," "," ","U",35," "," ","U",65," "," ","U",NA," "," "," "
"10","USR0000MBCB",1985,10,"TMAX",78,"H"," ","U",72,"H"," ","U",106,"H"," ","U",122,"H"," ","U",NA," "," "," ",-6,"H"," ","U",-22,"H"," ","U",-6,"H"," ","U",-83,"H"," ","U",NA," "," "," ",NA," "," "," ",28,"H"," ","U",39,"H"," ","U",28,"H","I","U",111,"H"," ","U",100,"H"," ","U",61,"H"," ","U",139,"H"," ","U",128,"H"," ","U",144,"H"," ","U",117,"H"," ","U",22,"H"," ","U",39,"H"," ","U",56,"H"," ","U",61,"H"," ","U",NA," "," "," ",156,"H"," ","U",111,"H"," ","U",50,"H"," ","U",28,"H"," ","U",-11,"H"," ","U"
