"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000MGOL",1999,9,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",270,"H"," ","U",220,"H"," ","U",120,"H"," ","U",180,"H"," ","U",210,"H"," ","U",240,"H"," ","U",270,"H"," ","U",270,"H"," ","U",230,"H"," ","U",110,"H"," ","U",200,"H"," ","U",240,"H"," ","U",280,"H"," ","U",280,"H"," ","U",270,"H"," ","U",170,"H"," ","U",130,"H"," ","U",60,"H"," ","U",70,"H"," ","U",110,"H"," ","U",180,"H"," ","U",80,"H"," ","U",NA," "," "," "
"2","USR0000MGOL",1999,9,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",50,"H"," ","U",50,"H"," ","U",0,"H"," ","U",0,"H"," ","U",30,"H"," ","U",40,"H"," ","U",60,"H"," ","U",80,"H"," ","U",90,"H"," ","U",30,"H"," ","U",-20,"H"," ","U",40,"H"," ","U",90,"H"," ","U",100,"H"," ","U",100,"H"," ","U",80,"H"," ","U",20,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",-50,"H"," ","U",20,"H"," ","U",-10,"H"," ","U",NA," "," "," "
"3","USR0000MGOL",1999,9,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",194," "," ","U",146," "," ","U",60," "," ","U",85," "," ","U",118," "," ","U",138," "," ","U",161," "," ","U",173," "," ","U",160," "," ","U",82," "," ","U",79," "," ","U",136," "," ","U",173," "," ","U",186," "," ","U",183," "," ","U",128," "," ","U",80," "," ","U",15," "," ","U",1," "," ","U",42," "," ","U",107," "," ","U",29," "," ","U",NA," "," "," "
"4","USR0000MGOL",1999,10,"TMAX",30,"H"," ","U",10,"H"," ","U",170,"H"," ","U",220,"H"," ","U",240,"H"," ","U",170,"H"," ","U",130,"H"," ","U",190,"H"," ","U",130,"H"," ","U",130,"H"," ","U",190,"H"," ","U",120,"H"," ","U",210,"H"," ","U",130,"H"," ","U",50,"H"," ","U",60,"H"," ","U",110,"H"," ","U",90,"H"," ","U",150,"H"," ","U",200,"H"," ","U",230,"H"," ","U",210,"H"," ","U",190,"H"," ","U",180,"H"," ","U",190,"H"," ","U",150,"H"," ","U",30,"H"," ","U",120,"H"," ","U",100,"H"," ","U",170,"H"," ","U",150,"H"," ","U"
"5","USR0000MGOL",1999,10,"TMIN",-40,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",60,"H"," ","U",20,"H"," ","U",60,"H"," ","U",50,"H"," ","U",90,"H"," ","U",20,"H"," ","U",-20,"H"," ","U",0,"H"," ","U",-20,"H"," ","U",100,"H"," ","U",0,"H"," ","U",-60,"H"," ","U",-90,"H"," ","U",20,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",40,"H"," ","U",80,"H"," ","U",50,"H"," ","U",60,"H"," ","U",50,"H"," ","U",40,"H"," ","U",-10,"H"," ","U",-10,"H"," ","U",20,"H"," ","U",10,"H"," ","U",50,"H"," ","U",-30,"H"," ","U"
"6","USR0000MGOL",1999,10,"TAVG",-11," "," ","U",-39," "," ","U",67," "," ","U",130," "," ","U",124," "," ","U",101," "," ","U",88," "," ","U",133," "," ","U",77," "," ","U",51," "," ","U",72," "," ","U",62," "," ","U",142," "," ","U",83," "," ","U",-8," "," ","U",-12," "," ","U",59," "," ","U",34," "," ","U",61," "," ","U",109," "," ","U",141," "," ","U",122," "," ","U",122," "," ","U",109," "," ","U",103," "," ","U",89," "," ","U",3," "," ","U",64," "," ","U",52," "," ","U",106," "," ","U",60," "," ","U"
"7","USR0000MGOL",1999,11,"TMAX",50,"H"," ","U",140,"H"," ","U",150,"H"," ","U",130,"H"," ","U",120,"H"," ","U",170,"H"," ","U",180,"H"," ","U",180,"H"," ","U",120,"H"," ","U",150,"H"," ","U",160,"H"," ","U",210,"H"," ","U",170,"H"," ","U",210,"H"," ","U",160,"H"," ","U",140,"H"," ","U",90,"H"," ","U",40,"H"," ","U",80,"H"," ","U",80,"H"," ","U",40,"H"," ","U",30,"H"," ","U",30,"H"," ","U",40,"H"," ","U",70,"H"," ","U",0,"H"," ","U",40,"H"," ","U",70,"H"," ","U",100,"H"," ","U",140,"H"," ","U",NA," "," "," "
"8","USR0000MGOL",1999,11,"TMIN",-50,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",-30,"H"," ","U",-40,"H"," ","U",90,"H"," ","U",90,"H"," ","U",40,"H"," ","U",30,"H"," ","U",60,"H"," ","U",40,"H"," ","U",120,"H"," ","U",0,"H"," ","U",80,"H"," ","U",50,"H"," ","U",50,"H"," ","U",0,"H"," ","U",-20,"H"," ","U",-10,"H"," ","U",-20,"H"," ","U",-50,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",-30,"H"," ","U",10,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-20,"H"," ","U",10,"H"," ","U",10,"H"," ","U",NA," "," "," "
"9","USR0000MGOL",1999,11,"TAVG",-6," "," ","U",49," "," ","U",101," "," ","U",47," "," ","U",34," "," ","U",129," "," ","U",128," "," ","U",103," "," ","U",73," "," ","U",88," "," ","U",106," "," ","U",161," "," ","U",102," "," ","U",130," "," ","U",97," "," ","U",88," "," ","U",34," "," ","U",4," "," ","U",33," "," ","U",24," "," ","U",-11," "," ","U",-27," "," ","U",-23," "," ","U",8," "," ","U",37," "," ","U",-17," "," ","U",-9," "," ","U",14," "," ","U",49," "," ","U",74," "," ","U",NA," "," "," "
"10","USR0000MGOL",1999,12,"TMAX",70,"H"," ","U",20,"H"," ","U",10,"H"," ","U",40,"H"," ","U",50,"H"," ","U",60,"H"," ","U",30,"H"," ","U",10,"H"," ","U",20,"H"," ","U",30,"H"," ","U",70,"H"," ","U",80,"H"," ","U",40,"H"," ","U",-10,"H"," ","U",70,"H"," ","U",100,"H"," ","U",50,"H"," ","U",50,"H"," ","U",-60,"H"," ","U",10,"H"," ","U",20,"H"," ","U",30,"H"," ","U",40,"H"," ","U",60,"H"," ","U",60,"H"," ","U",30,"H"," ","U",50,"H"," ","U",100,"H"," ","U",110,"H"," ","U",60,"H"," ","U",40,"H"," ","U"
"11","USR0000MGOL",1999,12,"TMIN",-10,"H"," ","U",-10,"H"," ","U",-80,"H"," ","U",-70,"H"," ","U",-30,"H"," ","U",-20,"H"," ","U",-70,"H"," ","U",-90,"H"," ","U",-60,"H"," ","U",-50,"H"," ","U",-60,"H"," ","U",10,"H"," ","U",-60,"H"," ","U",-70,"H"," ","U",-20,"H"," ","U",0,"H"," ","U",-30,"H"," ","U",-80,"H"," ","U",-110,"H"," ","U",-60,"H"," ","U",-10,"H"," ","U",-30,"H"," ","U",-30,"H"," ","U",-10,"H"," ","U",-60,"H"," ","U",-50,"H"," ","U",-40,"H"," ","U",0,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",-30,"H"," ","U"
"12","USR0000MGOL",1999,12,"TAVG",12," "," ","U",10," "," ","U",-26," "," ","U",-21," "," ","U",3," "," ","U",11," "," ","U",-18," "," ","U",-48," "," ","U",-27," "," ","U",-19," "," ","U",-5," "," ","U",42," "," ","U",-25," "," ","U",-38," "," ","U",18," "," ","U",58," "," ","U",14," "," ","U",6," "," ","U",-92," "," ","U",-17," "," ","U",-1," "," ","U",-1," "," ","U",-1," "," ","U",16," "," ","U",3," "," ","U",-17," "," ","U",2," "," ","U",36," "," ","U",41," "," ","U",22," "," ","U",11," "," ","U"
"13","USR0000MGOL",2000,1,"TMAX",30,"H"," ","U",-30,"H"," ","U",-30,"H"," ","U",70,"H"," ","U",10,"H"," ","U",20,"H"," ","U",30,"H"," ","U",40,"H"," ","U",20,"H"," ","U",-30,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",-10,"H"," ","U",40,"H"," ","U",20,"H"," ","U",70,"H"," ","U",30,"H"," ","U",60,"H"," ","U",30,"H"," ","U",50,"H"," ","U",50,"H"," ","U",-50,"H"," ","U",30,"H"," ","U",0,"H"," ","U",40,"H"," ","U",30,"H"," ","U",10,"H"," ","U",0,"H"," ","U",-20,"H"," ","U",0,"H"," ","U",40,"H"," ","U"
"14","USR0000MGOL",2000,1,"TMIN",-40,"H"," ","U",-170,"H"," ","U",-210,"H"," ","U",-40,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",-70,"H"," ","U",-90,"H"," ","U",-120,"H"," ","U",-80,"H"," ","U",-90,"H"," ","U",-170,"H"," ","U",-30,"H"," ","U",-60,"H"," ","U",-30,"H"," ","U",-110,"H"," ","U",-160,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-100,"H"," ","U",-110,"H"," ","U",-100,"H"," ","U",-70,"H"," ","U",-70,"H"," ","U",-70,"H"," ","U",-90,"H"," ","U",-90,"H"," ","U",-90,"H"," ","U",-70,"H"," ","U"
"15","USR0000MGOL",2000,1,"TAVG",-8," "," ","U",-101," "," ","U",-107," "," ","U",1," "," ","U",-22," "," ","U",-13," "," ","U",3," "," ","U",7," "," ","U",-21," "," ","U",-61," "," ","U",-78," "," ","U",-58," "," ","U",-44," "," ","U",-98," "," ","U",-8," "," ","U",-2," "," ","U",-2," "," ","U",-7," "," ","U",-69," "," ","U",2," "," ","U",3," "," ","U",-75," "," ","U",-34," "," ","U",-54," "," ","U",-11," "," ","U",-9," "," ","U",-39," "," ","U",-58," "," ","U",-61," "," ","U",-54," "," ","U",-29," "," ","U"
"16","USR0000MGOL",2000,2,"TMAX",110,"H"," ","U",70,"H"," ","U",20,"H"," ","U",10,"H"," ","U",60,"H"," ","U",90,"H"," ","U",100,"H"," ","U",140,"H"," ","U",80,"H"," ","U",-120,"H"," ","U",-100,"H"," ","U",-100,"H"," ","U",-10,"H"," ","U",-100,"H"," ","U",20,"H"," ","U",60,"H"," ","U",0,"H"," ","U",10,"H"," ","U",30,"H"," ","U",60,"H"," ","U",110,"H"," ","U",120,"H"," ","U",110,"H"," ","U",20,"H"," ","U",30,"H"," ","U",60,"H"," ","U",90,"H"," ","U",70,"H"," ","U",100,"H"," ","U",NA," "," "," ",NA," "," "," "
