"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000OSUM",1985,1,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-457,"H","G","U",-469,"H","G","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"2","USR0000OSUM",1985,1,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-500,"H","G","U",-500,"H","G","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"3","USR0000OSUM",1985,1,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-489," ","G","U",-493," ","G","U",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"4","USR0000OSUM",1985,5,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",210,"H"," ","U",194,"H"," ","U",182,"H"," ","U",159,"H"," ","U",136,"H"," ","U",77,"H"," ","U",26,"H"," ","U",119,"H"," ","U",64,"H"," ","U"
"5","USR0000OSUM",1985,5,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",116,"H"," ","U",61,"H"," ","U",49,"H"," ","U",33,"H"," ","U",26,"H"," ","U",-26,"H"," ","U",-37,"H"," ","U",-26,"H"," ","U",6,"H"," ","U"
"6","USR0000OSUM",1985,5,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",168," "," ","U",131," "," ","U",140," "," ","U",109," "," ","U",74," "," ","U",26," "," ","U",-5," "," ","U",55," "," ","U",31," "," ","U"
"7","USR0000OSUM",1985,6,"TMAX",37,"H"," ","U",NA," "," "," ",167,"H"," ","U",139,"H"," ","U",123,"H"," ","U",96,"H","I","U",167,"H"," ","U",194,"H"," ","U",198,"H"," ","U",202,"H"," ","U",249,"H"," ","U",249,"H"," ","U",222,"H"," ","U",233,"H"," ","U",241,"H"," ","U",253,"H"," ","U",206,"H"," ","U",319,"H"," ","U",214,"H"," ","U",241,"H"," ","U",245,"H"," ","U",253,"H"," ","U",226,"H"," ","U",131,"H","I","U",159,"H"," ","U",214,"H"," ","U",233,"H"," ","U",233,"H"," ","U",182,"H"," ","U",214,"H"," ","U",NA," "," "," "
"8","USR0000OSUM",1985,6,"TMIN",-6,"H"," ","U",NA," "," "," ",92,"H"," ","U",77,"H"," ","U",64,"H"," ","U",88,"H"," ","U",131,"H","I","U",92,"H"," ","U",49,"H"," ","U",37,"H"," ","U",84,"H"," ","U",104,"H"," ","U",69,"H"," ","U",69,"H"," ","U",77,"H"," ","U",57,"H"," ","U",84,"H"," ","U",214,"H"," ","U",159,"H"," ","U",127,"H"," ","U",136,"H"," ","U",84,"H"," ","U",147,"H","I","U",-26,"H"," ","U",6,"H"," ","U",45,"H"," ","U",112,"H"," ","U",127,"H"," ","U",131,"H"," ","U",123,"H"," ","U",NA," "," "," "
"9","USR0000OSUM",1985,6,"TAVG",8," "," ","U",NA," "," "," ",133," "," ","U",104," "," ","U",98," "," ","U",93," "," ","U",152," "," ","U",138," "," ","U",129," "," ","U",131," "," ","U",183," "," ","U",188," "," ","U",159," "," ","U",162," "," ","U",163," "," ","U",157," "," ","U",125," "," ","U",271," "," ","U",187," "," ","U",195," "," ","U",200," "," ","U",203," "," ","U",191," "," ","U",76," "," ","U",102," "," ","U",159," "," ","U",169," "," ","U",201," "," ","U",158," "," ","U",172," "," ","U",NA," "," "," "
"10","USR0000OSUM",1985,7,"TMAX",237,"H"," ","U",261,"H"," ","U",257,"H"," ","U",NA," "," "," ",265,"H"," ","U",269,"H"," ","U",265,"H"," ","U",288,"H"," ","U",281,"H"," ","U",292,"H"," ","U",269,"H"," ","U",273,"H"," ","U",284,"H"," ","U",147,"H","I","U",288,"H"," ","U",273,"H"," ","U",265,"H"," ","U",277,"H"," ","U",288,"H"," ","U",288,"H"," ","U",226,"H"," ","U",171,"H"," ","U",202,"H"," ","U",269,"H"," ","U",296,"H"," ","U",292,"H"," ","U",288,"H"," ","U",233,"H"," ","U",210,"H"," ","U",136,"H"," ","U",155,"H"," ","U"
