"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USS0014H04S",2012,1,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",81," "," ","T",87," "," ","T",86," "," ","T",60," "," ","T",-55," "," ","T",-51," "," ","T",-5," "," ","T",19," "," ","T",41," "," ","T",20," ","I","T",-40," "," ","T",-16," "," ","T",6," "," ","T",35," "," ","T",21," "," ","T",16," "," ","T",50," "," ","T",41," "," ","T",61," "," ","T",31," "," ","T"
"2","USS0014H04S",2012,1,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-87," "," ","T",-31," "," ","T",10," "," ","T",-117," "," ","T",-192," "," ","T",-171," ","I","T",-77," "," ","T",-15," "," ","T",-16," "," ","T",-81," "," ","T",-97," "," ","T",-131," "," ","T",-141," "," ","T",-16," "," ","T",-106," "," ","T",-156," "," ","T",-107," "," ","T",-66," "," ","T",-111," "," ","T",-91," "," ","T"
"3","USS0014H04S",2012,1,"TOBS",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-36," "," ","T",11," "," ","T",29," "," ","T",-115," "," ","T",-192," ","I","T",-57," "," ","T",-11," "," ","T",0," "," ","T",41," ","I","T",-81," "," ","T",-40," "," ","T",-131," "," ","T",-25," "," ","T",-5," "," ","T",-96," "," ","T",-85," "," ","T",-66," "," ","T",0," "," ","T",-75," "," ","T",-36," "," ","T"
"4","USS0014H04S",2012,1,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",127," "," ","T",127," "," ","T",127," "," ","T",127," "," ","T",127," "," ","T",279," "," ","T",305," "," ","T",356," "," ","T",356," "," ","T",305," "," ","T",330," "," ","T",330," "," ","T",305," "," ","T",305," "," ","T",305," "," ","T",305," "," ","T"
"5","USS0014H04S",2012,1,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",20," "," ","T",20," "," ","T",40," "," ","T",-10," "," ","T",-140," "," ","T",-100," "," ","T",-40," "," ","T",0," "," ","T",10," "," ","T",-30," "," ","T",-60," "," ","T",-50," "," ","T",-60," "," ","T",10," "," ","T",-10," "," ","T",-100," "," ","T",-40," "," ","T",0," "," ","T",-20," "," ","T",-30," "," ","T"
"6","USS0014H04S",2012,2,"TMAX",30," "," ","T",1," "," ","T",22," "," ","T",51," "," ","T",76," "," ","T",47," "," ","T",31," "," ","T",20," "," ","T",56," "," ","T",71," "," ","T",66," "," ","T",56," "," ","T",21," "," ","T",11," "," ","T",-49," "," ","T",76," "," ","T",71," "," ","T",11," "," ","T",-24," "," ","T",-31," "," ","T",20," "," ","T",51," "," ","T",-15," "," ","T",45," "," ","T",10," "," ","T",-40," "," ","T",31," "," ","T",-25," "," ","T",-29," "," ","T",NA," "," "," ",NA," "," "," "
"7","USS0014H04S",2012,2,"TMIN",-91," "," ","T",-127," "," ","T",-136," "," ","T",-127," "," ","T",-132," "," ","T",-131," "," ","T",-141," "," ","T",-41," "," ","T",-26," ","I","T",-36," "," ","T",-50," "," ","T",-61," "," ","T",-55," "," ","T",-96," "," ","T",-156," "," ","T",-156," "," ","T",-76," "," ","T",-117," "," ","T",-151," "," ","T",-100," "," ","T",-40," "," ","T",-51," "," ","T",-102," "," ","T",-91," "," ","T",-136," "," ","T",-172," "," ","T",-136," "," ","T",-161," "," ","T",-111," "," ","T",NA," "," "," ",NA," "," "," "
"8","USS0014H04S",2012,2,"TOBS",-91," "," ","T",-121," "," ","T",-106," "," ","T",-91," "," ","T",-121," "," ","T",-107," "," ","T",-5," "," ","T",-41," ","I","T",14," "," ","T",-36," "," ","T",-45," "," ","T",-50," "," ","T",-51," "," ","T",-50," "," ","T",-141," "," ","T",-44," "," ","T",-34," "," ","T",-117," "," ","T",-102," "," ","T",-40," "," ","T",9," "," ","T",-51," "," ","T",-100," "," ","T",15," "," ","T",-136," "," ","T",-136," "," ","T",-122," "," ","T",-55," "," ","T",-86," "," ","T",NA," "," "," ",NA," "," "," "
"9","USS0014H04S",2012,2,"SNWD",305," "," ","T",305," "," ","T",279," "," ","T",279," "," ","T",279," "," ","T",279," "," ","T",305," "," ","T",330," "," ","T",305," "," ","T",305," "," ","T",305," "," ","T",305," "," ","T",330," "," ","T",356," "," ","T",356," "," ","T",356," "," ","T",356," "," ","T",381," "," ","T",381," "," ","T",356," "," ","T",356," "," ","T",330," "," ","T",330," "," ","T",330," "," ","T",381," "," ","T",381," "," ","T",381," "," ","T",356," "," ","T",406," "," ","T",NA," "," "," ",NA," "," "," "
"10","USS0014H04S",2012,2,"TAVG",-20," "," ","T",-80," "," ","T",-70," "," ","T",-50," "," ","T",-70," "," ","T",-60," "," ","T",-50," "," ","T",-20," "," ","T",10," "," ","T",10," "," ","T",-10," "," ","T",-30," "," ","T",-30," "," ","T",-50," "," ","T",-90," "," ","T",-60," "," ","T",-20," "," ","T",-50," "," ","T",-90," "," ","T",-60," "," ","T",0," "," ","T",10," "," ","T",-70," "," ","T",-20," "," ","T",-70," "," ","T",-110," "," ","T",-70," "," ","T",-80," "," ","T",-60," "," ","T",NA," "," "," ",NA," "," "," "
