"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USSNRCS0124",2013,8,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",223," "," ","T",217," "," ","T",147," "," ","T",182," "," ","T",175," "," ","T",158," "," ","T",163," "," ","T",195," "," ","T",210," "," ","T",234," "," ","T",193," "," ","T"
"2","USSNRCS0124",2013,8,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",98," "," ","T",93," "," ","T",80," "," ","T",56," "," ","T",73," "," ","T",87," "," ","T",83," "," ","T",85," "," ","T",102," "," ","T",114," "," ","T",118," "," ","T"
"3","USSNRCS0124",2013,8,"TOBS",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",113," "," ","T",111," "," ","T",104," "," ","T",119," "," ","T",109," "," ","T",119," "," ","T",89," "," ","T",113," "," ","T",121," "," ","T",135," "," ","T",126," "," ","T",118," "," ","T"
"4","USSNRCS0124",2013,8,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",25," "," ","T",102," "," ","T",25," "," ","T",0," "," ","T",25," "," ","T",51," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T"
"5","USSNRCS0124",2013,8,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
"6","USSNRCS0124",2013,8,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",152," "," ","T",139," "," ","T",116," "," ","T",114," "," ","T",125," "," ","T",116," "," ","T",115," "," ","T",130," "," ","T",153," "," ","T",164," "," ","T",142," "," ","T"
"7","USSNRCS0124",2013,8,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
"8","USSNRCS0124",2013,9,"TMAX",189," "," ","T",195," "," ","T",157," "," ","T",188," "," ","T",189," "," ","T",195," "," ","T",161," "," ","T",154," "," ","T",161," "," ","T",127," "," ","T",105," "," ","T",108," "," ","T",127," "," ","T",132," "," ","T",161," "," ","T",180," "," ","T",173," "," ","T",111," "," ","T",119," "," ","T",158," "," ","T",165," "," ","T",104," "," ","T",119," "," ","T",160," "," ","T",94," "," ","T",6," "," ","T",34," "," ","T",97," "," ","T",127," "," ","T",157," "," ","T",NA," "," "," "
"9","USSNRCS0124",2013,9,"TMIN",102," "," ","T",89," "," ","T",97," "," ","T",96," "," ","T",97," "," ","T",104," "," ","T",81," "," ","T",83," "," ","T",71," "," ","T",60," "," ","T",72," "," ","T",76," "," ","T",57," "," ","T",55," "," ","T",50," "," ","T",84," "," ","T",76," "," ","T",25," "," ","T",8," "," ","T",41," "," ","T",81," "," ","T",17," "," ","T",6," "," ","T",51," "," ","T",-30," "," ","T",-37," "," ","T",-28," "," ","T",-37," "," ","T",30," "," ","T",54," "," ","T",NA," "," "," "
"10","USSNRCS0124",2013,9,"TOBS",114," "," ","T",106," "," ","T",102," "," ","T",103," "," ","T",118," "," ","T",119," "," ","T",84," "," ","T",85," "," ","T",75," "," ","T",90," "," ","T",79," "," ","T",79," "," ","T",59," "," ","T",55," "," ","T",107," "," ","T",115," "," ","T",77," "," ","T",25," "," ","T",46," "," ","T",108," "," ","T",87," "," ","T",29," "," ","T",64," "," ","T",93," "," ","T",-29," "," ","T",-25," "," ","T",-24," "," ","T",31," "," ","T",76," "," ","T",54," "," ","T",NA," "," "," "
