"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USW00053185",2011,9,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",165," "," ","R",162," "," ","R",146," "," ","R",130," "," ","R",153," "," ","R",169," "," ","R",168," "," ","R",174," "," ","R",NA," "," "," "
"2","USW00053185",2011,9,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",81," "," ","R",91," "," ","R",77," "," ","R",65," "," ","R",79," "," ","R",94," "," ","R",84," "," ","R",88," "," ","R",NA," "," "," "
"3","USW00053185",2011,9,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",NA," "," "," "
"4","USW00053185",2011,10,"TMAX",129," "," ","R",128," "," ","R",128," "," ","R",92," "," ","R",9," "," ","R",-28," "," ","R",-45," "," ","R",-10," "," ","R",12," "," ","R",39," "," ","R",65," "," ","R",84," "," ","R",115," "," ","R",127," "," ","R",145," "," ","R",118," "," ","R",88," "," ","R",111," "," ","R",107," "," ","R",93," "," ","R",97," "," ","R",99," "," ","R",126," "," ","R",78," "," ","R",54," "," ","R",-25," "," ","R",23," "," ","R",47," "," ","R",66," "," ","R",81," "," ","R",75," "," ","R"
"5","USW00053185",2011,10,"TMIN",58," "," ","R",57," "," ","R",44," "," ","R",9," "," ","R",-31," "," ","R",-88," "," ","R",-100," "," ","R",-57," "," ","R",-74," "," ","R",-31," "," ","R",-15," "," ","R",17," "," ","R",53," "," ","R",50," "," ","R",56," "," ","R",45," "," ","R",7," "," ","R",33," "," ","R",33," "," ","R",26," "," ","R",24," "," ","R",31," "," ","R",31," "," ","R",33," "," ","R",-25," "," ","R",-111," "," ","R",-97," "," ","R",-23," "," ","R",-15," "," ","R",3," "," ","R",6," "," ","R"
"6","USW00053185",2011,10,"PRCP",0," "," ","R",0," "," ","R",11," "," ","R",26," "," ","R",249," "," ","R",131," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",47," "," ","R",50," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R"
"7","USW00053185",2011,11,"TMAX",24," "," ","R",22," "," ","R",63," "," ","R",19," "," ","R",-77," "," ","R",-61," "," ","R",-82," "," ","R",-45," "," ","R",-7," "," ","R",46," "," ","R",15," "," ","R",-17," "," ","R",-28," "," ","R",-28," "," ","R",-11," "," ","R",-14," "," ","R",20," "," ","R",26," "," ","R",-40," "," ","R",-24," "," ","R",-39," "," ","R",16," "," ","R",59," "," ","R",13," "," ","R",-8," "," ","R",27," "," ","R",69," "," ","R",72," "," ","R",65," "," ","R",16," "," ","R",NA," "," "," "
"8","USW00053185",2011,11,"TMIN",-113," "," ","R",-123," "," ","R",-26," "," ","R",-78," "," ","R",-134," "," ","R",-131," "," ","R",-121," "," ","R",-135," "," ","R",-101," "," ","R",-34," "," ","R",-38," "," ","R",-57," "," ","R",-61," "," ","R",-71," "," ","R",-71," "," ","R",-83," "," ","R",-56," "," ","R",-51," "," ","R",-61," "," ","R",-62," "," ","R",-73," "," ","R",-82," "," ","R",-1," "," ","R",-57," "," ","R",-66," "," ","R",-63," "," ","R",14," "," ","R",10," "," ","R",-27," "," ","R",-81," "," ","R",NA," "," "," "
"9","USW00053185",2011,11,"PRCP",9," "," ","R",2," "," ","R",0," "," ","R",0," "," ","R",4," "," ","R",37," "," ","R",23," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",35," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",4," "," ","R",44," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",0," "," ","R",9," "," ","R",NA," "," "," "
"10","USW00053185",2011,12,"TMAX",-64," "," ","R",-66," "," ","R",-99," "," ","R",-107," "," ","R",-108," "," ","R",-16," "," ","R",34," "," ","R",-2," "," ","R",14," "," ","R",9," "," ","R",-11," "," ","R",-64," "," ","R",-59," "," ","R",-71," "," ","R",-50," "," ","R",-31," "," ","R",39," "," ","R",2," "," ","R",-7," "," ","R",-7," "," ","R",-26," "," ","R",-123," "," ","R",-36," "," ","R",-1," "," ","R",36," "," ","R",19," "," ","R",2," "," ","R",36," "," ","R",32," "," ","R",40," "," ","R",-1," "," ","R"
