"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000MKIL",1999,9,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",230,"H"," ","U",220,"H"," ","U",110,"H"," ","U",140,"H"," ","U",200,"H"," ","U",220,"H"," ","U",260,"H"," ","U",280,"H"," ","U",280,"H"," ","U",160,"H"," ","U",150,"H"," ","U",220,"H"," ","U",280,"H"," ","U",270,"H"," ","U",280,"H"," ","U",210,"H"," ","U",150,"H"," ","U",60,"H"," ","U",90,"H"," ","U",130,"H"," ","U",200,"H"," ","U",90,"H"," ","U",NA," "," "," "
"2","USR0000MKIL",1999,9,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",30,"H"," ","U",70,"H"," ","U",20,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",20,"H"," ","U",20,"H"," ","U",40,"H"," ","U",70,"H"," ","U",30,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",70,"H"," ","U",60,"H"," ","U",90,"H"," ","U",50,"H"," ","U",-10,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",0,"H"," ","U",10,"H"," ","U",NA," "," "," "
"3","USR0000MKIL",1999,9,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",161," "," ","U",148," "," ","U",70," "," ","U",76," "," ","U",101," "," ","U",117," "," ","U",138," "," ","U",156," "," ","U",166," "," ","U",89," "," ","U",71," "," ","U",103," "," ","U",157," "," ","U",163," "," ","U",164," "," ","U",138," "," ","U",101," "," ","U",33," "," ","U",17," "," ","U",36," "," ","U",109," "," ","U",44," "," ","U",NA," "," "," "
"4","USR0000MKIL",1999,10,"TMAX",50,"H"," ","U",0,"H"," ","U",150,"H"," ","U",220,"H"," ","U",220,"H"," ","U",190,"H"," ","U",160,"H"," ","U",230,"H"," ","U",120,"H"," ","U",130,"H"," ","U",230,"H"," ","U",140,"H"," ","U",240,"H"," ","U",190,"H"," ","U",50,"H"," ","U",60,"H"," ","U",120,"H"," ","U",100,"H"," ","U",150,"H"," ","U",200,"H"," ","U",210,"H"," ","U",230,"H"," ","U",240,"H"," ","U",200,"H"," ","U",170,"H"," ","U",230,"H"," ","U",60,"H"," ","U",120,"H"," ","U",110,"H"," ","U",180,"H"," ","U",200,"H"," ","U"
"5","USR0000MKIL",1999,10,"TMIN",-20,"H"," ","U",-30,"H"," ","U",-50,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",40,"H"," ","U",40,"H"," ","U",70,"H"," ","U",50,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",30,"H"," ","U",10,"H"," ","U",20,"H"," ","U",-30,"H"," ","U",-80,"H"," ","U",20,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",70,"H"," ","U",60,"H"," ","U",20,"H"," ","U",0,"H"," ","U",70,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",-30,"H"," ","U",-30,"H"," ","U",40,"H"," ","U",30,"H"," ","U",0,"H"," ","U"
"6","USR0000MKIL",1999,10,"TAVG",6," "," ","U",-18," "," ","U",52," "," ","U",117," "," ","U",97," "," ","U",109," "," ","U",98," "," ","U",148," "," ","U",88," "," ","U",64," "," ","U",83," "," ","U",71," "," ","U",122," "," ","U",108," "," ","U",7," "," ","U",-4," "," ","U",54," "," ","U",44," "," ","U",66," "," ","U",132," "," ","U",131," "," ","U",111," "," ","U",108," "," ","U",123," "," ","U",74," "," ","U",114," "," ","U",9," "," ","U",35," "," ","U",66," "," ","U",107," "," ","U",66," "," ","U"
"7","USR0000MKIL",1999,11,"TMAX",60,"H"," ","U",140,"H"," ","U",190,"H"," ","U",150,"H"," ","U",90,"H"," ","U",220,"H"," ","U",220,"H"," ","U",190,"H"," ","U",140,"H"," ","U",130,"H"," ","U",160,"H"," ","U",230,"H"," ","U",200,"H"," ","U",230,"H"," ","U",190,"H"," ","U",170,"H"," ","U",150,"H"," ","U",50,"H"," ","U",110,"H"," ","U",100,"H"," ","U",60,"H"," ","U",30,"H"," ","U",30,"H"," ","U",60,"H"," ","U",60,"H"," ","U",60,"H"," ","U",60,"H"," ","U",80,"H"," ","U",130,"H"," ","U",170,"H"," ","U",NA," "," "," "
"8","USR0000MKIL",1999,11,"TMIN",-90,"H"," ","U",-110,"H"," ","U",30,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",10,"H"," ","U",0,"H"," ","U",40,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",40,"H"," ","U",50,"H"," ","U",80,"H"," ","U",40,"H"," ","U",10,"H"," ","U",20,"H"," ","U",-10,"H"," ","U",-30,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",-50,"H"," ","U",-60,"H"," ","U",-80,"H"," ","U",-40,"H"," ","U",20,"H"," ","U",0,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-10,"H"," ","U",NA," "," "," "
"9","USR0000MKIL",1999,11,"TAVG",-18," "," ","U",21," "," ","U",96," "," ","U",84," "," ","U",14," "," ","U",102," "," ","U",109," "," ","U",108," "," ","U",70," "," ","U",58," "," ","U",87," "," ","U",134," "," ","U",144," "," ","U",124," "," ","U",76," "," ","U",82," "," ","U",46," "," ","U",28," "," ","U",40," "," ","U",42," "," ","U",-9," "," ","U",-24," "," ","U",-28," "," ","U",16," "," ","U",44," "," ","U",19," "," ","U",4," "," ","U",1," "," ","U",21," "," ","U",58," "," ","U",NA," "," "," "
"10","USR0000MKIL",1999,12,"TMAX",50,"H"," ","U",30,"H"," ","U",30,"H"," ","U",30,"H"," ","U",70,"H"," ","U",70,"H"," ","U",30,"H"," ","U",20,"H"," ","U",0,"H"," ","U",20,"H"," ","U",10,"H"," ","U",80,"H"," ","U",20,"H"," ","U",0,"H"," ","U",60,"H"," ","U",90,"H"," ","U",50,"H"," ","U",60,"H"," ","U",-70,"H"," ","U",10,"H"," ","U",0,"H"," ","U",60,"H"," ","U",80,"H"," ","U",120,"H"," ","U",110,"H"," ","U",100,"H"," ","U",110,"H"," ","U",120,"H"," ","U",100,"H"," ","U",80,"H"," ","U",50,"H"," ","U"
"11","USR0000MKIL",1999,12,"TMIN",-10,"H"," ","U",-20,"H"," ","U",-70,"H"," ","U",-80,"H"," ","U",-20,"H"," ","U",-10,"H"," ","U",-90,"H"," ","U",-120,"H"," ","U",-120,"H"," ","U",-70,"H"," ","U",-50,"H"," ","U",-20,"H"," ","U",-80,"H"," ","U",-90,"H"," ","U",-30,"H"," ","U",10,"H"," ","U",-50,"H"," ","U",-60,"H"," ","U",-120,"H"," ","U",-120,"H"," ","U",-40,"H"," ","U",10,"H"," ","U",10,"H"," ","U",10,"H"," ","U",-40,"H"," ","U",-60,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",-50,"H"," ","U"
"12","USR0000MKIL",1999,12,"TAVG",10," "," ","U",3," "," ","U",-12," "," ","U",-18," "," ","U",19," "," ","U",16," "," ","U",-19," "," ","U",-58," "," ","U",-58," "," ","U",-29," "," ","U",-11," "," ","U",21," "," ","U",-22," "," ","U",-42," "," ","U",8," "," ","U",61," "," ","U",7," "," ","U",9," "," ","U",-103," "," ","U",-28," "," ","U",-19," "," ","U",28," "," ","U",39," "," ","U",62," "," ","U",43," "," ","U",14," "," ","U",55," "," ","U",78," "," ","U",60," "," ","U",31," "," ","U",14," "," ","U"
"13","USR0000MKIL",2000,1,"TMAX",50,"H"," ","U",-20,"H"," ","U",-50,"H"," ","U",50,"H"," ","U",10,"H"," ","U",20,"H"," ","U",40,"H"," ","U",20,"H"," ","U",30,"H"," ","U",-20,"H"," ","U",-50,"H"," ","U",-30,"H"," ","U",-50,"H"," ","U",20,"H"," ","U",30,"H"," ","U",20,"H"," ","U",40,"H"," ","U",20,"H"," ","U",-30,"H"," ","U",40,"H"," ","U",40,"H"," ","U",-30,"H"," ","U",30,"H"," ","U",-10,"H"," ","U",0,"H"," ","U",50,"H"," ","U",0,"H"," ","U",10,"H"," ","U",30,"H"," ","U",60,"H"," ","U",50,"H"," ","U"
"14","USR0000MKIL",2000,1,"TMIN",-70,"H"," ","U",-140,"H"," ","U",-180,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-10,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",-80,"H"," ","U",-130,"H"," ","U",-130,"H"," ","U",-180,"H"," ","U",-90,"H"," ","U",-60,"H"," ","U",-70,"H"," ","U",-30,"H"," ","U",-100,"H"," ","U",-130,"H"," ","U",-140,"H"," ","U",-30,"H"," ","U",-90,"H"," ","U",-120,"H"," ","U",-120,"H"," ","U",-130,"H"," ","U",-30,"H"," ","U",-60,"H"," ","U",-100,"H"," ","U",-110,"H"," ","U",-120,"H"," ","U",-110,"H"," ","U"
"15","USR0000MKIL",2000,1,"TAVG",-13," "," ","U",-64," "," ","U",-111," "," ","U",3," "," ","U",-19," "," ","U",-13," "," ","U",9," "," ","U",1," "," ","U",-7," "," ","U",-56," "," ","U",-85," "," ","U",-81," "," ","U",-108," "," ","U",-51," "," ","U",-6," "," ","U",-32," "," ","U",1," "," ","U",-27," "," ","U",-83," "," ","U",-42," "," ","U",3," "," ","U",-66," "," ","U",-32," "," ","U",-51," "," ","U",-66," "," ","U",4," "," ","U",-36," "," ","U",-43," "," ","U",-62," "," ","U",-57," "," ","U",-28," "," ","U"
"16","USR0000MKIL",2000,2,"TMAX",90,"H"," ","U",60,"H"," ","U",-10,"H"," ","U",-10,"H"," ","U",80,"H"," ","U",100,"H"," ","U",120,"H"," ","U",130,"H"," ","U",110,"H"," ","U",-80,"H"," ","U",-70,"H"," ","U",-80,"H"," ","U",10,"H"," ","U",-60,"H"," ","U",10,"H"," ","U",20,"H"," ","U",-10,"H"," ","U",0,"H"," ","U",40,"H"," ","U",80,"H"," ","U",130,"H"," ","U",140,"H"," ","U",110,"H"," ","U",90,"H"," ","U",20,"H"," ","U",60,"H"," ","U",70,"H"," ","U",100,"H"," ","U",100,"H"," ","U",NA," "," "," ",NA," "," "," "
"17","USR0000MKIL",2000,2,"TMIN",-70,"H"," ","U",-10,"H"," ","U",-120,"H"," ","U",-150,"H"," ","U",-70,"H"," ","U",-40,"H"," ","U",0,"H"," ","U",30,"H"," ","U",-80,"H"," ","U",-140,"H"," ","U",-150,"H"," ","U",-120,"H"," ","U",-130,"H"," ","U",-100,"H"," ","U",-120,"H"," ","U",-130,"H"," ","U",-160,"H"," ","U",-160,"H"," ","U",-60,"H"," ","U",-60,"H"," ","U",-30,"H"," ","U",-20,"H"," ","U",-30,"H"," ","U",-30,"H"," ","U",-50,"H"," ","U",-60,"H"," ","U",-40,"H"," ","U",-50,"H"," ","U",-30,"H"," ","U",NA," "," "," ",NA," "," "," "
"18","USR0000MKIL",2000,2,"TAVG",13," "," ","U",32," "," ","U",-42," "," ","U",-78," "," ","U",6," "," ","U",39," "," ","U",57," "," ","U",84," "," ","U",22," "," ","U",-106," "," ","U",-114," "," ","U",-107," "," ","U",-74," "," ","U",-78," "," ","U",-44," "," ","U",-29," "," ","U",-97," "," ","U",-77," "," ","U",-22," "," ","U",8," "," ","U",43," "," ","U",47," "," ","U",37," "," ","U",11," "," ","U",-17," "," ","U",-2," "," ","U",8," "," ","U",39," "," ","U",34," "," ","U",NA," "," "," ",NA," "," "," "
"19","USR0000MKIL",2000,3,"TMAX",110,"H"," ","U",120,"H"," ","U",140,"H"," ","U",200,"H"," ","U",120,"H"," ","U",120,"H"," ","U",-10,"H"," ","U",NA," "," "," ",10,"H"," ","U",60,"H"," ","U",40,"H"," ","U",50,"H"," ","U",50,"H"," ","U",100,"H"," ","U",20,"H"," ","U",110,"H"," ","U",50,"H"," ","U",100,"H"," ","U",40,"H"," ","U",30,"H"," ","U",100,"H"," ","U",150,"H"," ","U",150,"H"," ","U",80,"H"," ","U",160,"H"," ","U",140,"H"," ","U",180,"H"," ","U",90,"H"," ","U",60,"H"," ","U",40,"H"," ","U",90,"H"," ","U"
"20","USR0000MKIL",2000,3,"TMIN",-30,"H"," ","U",-40,"H"," ","U",20,"H"," ","U",20,"H"," ","U",0,"H"," ","U",-20,"H"," ","U",-30,"H"," ","U",NA," "," "," ",-90,"H"," ","U",-70,"H"," ","U",-60,"H"," ","U",-50,"H"," ","U",-30,"H"," ","U",-50,"H"," ","U",-80,"H"," ","U",-80,"H"," ","U",-10,"H"," ","U",-40,"H"," ","U",-60,"H"," ","U",-80,"H"," ","U",-110,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",-30,"H"," ","U",20,"H"," ","U",40,"H"," ","U",10,"H"," ","U",-30,"H"," ","U",-40,"H"," ","U",-60,"H"," ","U"
"21","USR0000MKIL",2000,3,"TAVG",27," "," ","U",38," "," ","U",71," "," ","U",96," "," ","U",51," "," ","U",25," "," ","U",-20," "," ","U",NA," "," "," ",-43," "," ","U",-11," "," ","U",0," "," ","U",-5," "," ","U",6," "," ","U",26," "," ","U",-38," "," ","U",11," "," ","U",14," "," ","U",31," "," ","U",1," "," ","U",-17," "," ","U",12," "," ","U",62," "," ","U",47," "," ","U",18," "," ","U",72," "," ","U",71," "," ","U",98," "," ","U",42," "," ","U",14," "," ","U",3," "," ","U",21," "," ","U"
"22","USR0000MKIL",2000,4,"TMAX",100,"H"," ","U",20,"H"," ","U",150,"H"," ","U",230,"H"," ","U",110,"H"," ","U",60,"H"," ","U",100,"H"," ","U",190,"H"," ","U",180,"H"," ","U",110,"H"," ","U",340,"H","S","U",170,"H"," ","U",90,"H"," ","U",-10,"H"," ","U",80,"H"," ","U",180,"H"," ","U",170,"H"," ","U",70,"H"," ","U",190,"H"," ","U",200,"H"," ","U",210,"H"," ","U",210,"H"," ","U",140,"H"," ","U",120,"H"," ","U",160,"H"," ","U",140,"H"," ","U",190,"H"," ","U",230,"H"," ","U",110,"H"," ","U",210,"H"," ","U",NA," "," "," "
"23","USR0000MKIL",2000,4,"TMIN",-50,"H"," ","U",-80,"H"," ","U",-100,"H"," ","U",60,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",-30,"H"," ","U",20,"H"," ","U",-30,"H"," ","U",0,"H"," ","U",-10,"H"," ","U",20,"H"," ","U",-80,"H"," ","U",-110,"H"," ","U",-50,"H"," ","U",-10,"H"," ","U",50,"H"," ","U",30,"H"," ","U",40,"H"," ","U",30,"H"," ","U",40,"H"," ","U",50,"H"," ","U",40,"H"," ","U",-20,"H"," ","U",-40,"H"," ","U",0,"H"," ","U",-30,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",-20,"H"," ","U",NA," "," "," "
"24","USR0000MKIL",2000,4,"TAVG",41," "," ","U",-16," "," ","U",21," "," ","U",146," "," ","U",57," "," ","U",19," "," ","U",37," "," ","U",102," "," ","U",81," "," ","U",38," "," ","U",68," "," ","U",108," "," ","U",1," "," ","U",-67," "," ","U",8," "," ","U",79," "," ","U",108," "," ","U",52," "," ","U",99," "," ","U",117," "," ","U",132," "," ","U",119," "," ","U",83," "," ","U",63," "," ","U",62," "," ","U",76," "," ","U",94," "," ","U",102," "," ","U",51," "," ","U",103," "," ","U",NA," "," "," "
"25","USR0000MKIL",2000,5,"TMAX",280,"H"," ","U",240,"H"," ","U",240,"H"," ","U",190,"H"," ","U",130,"H"," ","U",110,"H"," ","U",120,"H"," ","U",170,"H"," ","U",150,"H"," ","U",130,"H"," ","U",90,"H"," ","U",70,"H"," ","U",150,"H"," ","U",170,"H"," ","U",190,"H"," ","U",160,"H"," ","U",150,"H"," ","U",200,"H"," ","U",190,"H"," ","U",220,"H"," ","U",230,"H"," ","U",230,"H"," ","U",220,"H"," ","U",180,"H"," ","U",230,"H"," ","U",190,"H"," ","U",240,"H"," ","U",220,"H"," ","U",140,"H"," ","U",130,"H"," ","U",90,"H"," ","U"
"26","USR0000MKIL",2000,5,"TMIN",60,"H"," ","U",70,"H"," ","U",60,"H"," ","U",80,"H"," ","U",50,"H"," ","U",30,"H"," ","U",10,"H"," ","U",-20,"H"," ","U",40,"H"," ","U",10,"H"," ","U",-10,"H"," ","U",-20,"H"," ","U",-20,"H"," ","U",0,"H"," ","U",40,"H"," ","U",30,"H"," ","U",50,"H"," ","U",10,"H"," ","U",60,"H"," ","U",50,"H"," ","U",110,"H"," ","U",130,"H"," ","U",100,"H"," ","U",60,"H"," ","U",60,"H"," ","U",80,"H"," ","U",50,"H"," ","U",80,"H"," ","U",40,"H"," ","U",40,"H"," ","U",10,"H"," ","U"
"27","USR0000MKIL",2000,5,"TAVG",178," "," ","U",148," "," ","U",159," "," ","U",121," "," ","U",81," "," ","U",73," "," ","U",68," "," ","U",78," "," ","U",94," "," ","U",58," "," ","U",31," "," ","U",22," "," ","U",72," "," ","U",89," "," ","U",119," "," ","U",112," "," ","U",102," "," ","U",114," "," ","U",122," "," ","U",142," "," ","U",182," "," ","U",189," "," ","U",169," "," ","U",128," "," ","U",156," "," ","U",136," "," ","U",161," "," ","U",156," "," ","U",74," "," ","U",86," "," ","U",61," "," ","U"
"28","USR0000MKIL",2000,6,"TMAX",150,"H"," ","U",220,"H"," ","U",220,"H"," ","U",220,"H"," ","U",300,"H"," ","U",300,"H"," ","U",330,"H"," ","U",290,"H"," ","U",210,"H"," ","U",210,"H"," ","U",190,"H"," ","U",180,"H"," ","U",200,"H"," ","U",220,"H"," ","U",160,"H"," ","U",160,"H"," ","U",200,"H"," ","U",280,"H"," ","U",140,"H"," ","U",190,"H"," ","U",260,"H"," ","U",200,"H"," ","U",210,"H"," ","U",250,"H"," ","U",180,"H"," ","U",180,"H"," ","U",210,"H"," ","U",270,"H"," ","U",290,"H"," ","U",320,"H"," ","U",NA," "," "," "
