"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USR0000OFIE",1991,10,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",269,"H"," ","U",178,"H"," ","U",143,"H"," ","U",202,"H"," ","U",171,"H"," ","U",210,"H"," ","U",143,"H"," ","U",53,"H"," ","U",45,"H"," ","U",53,"H"," ","U",57,"H"," ","U",41,"H"," ","U",10,"H"," ","U",41,"H"," ","U",26,"H"," ","U",100,"H"," ","U",131,"H"," ","U"
"2","USR0000OFIE",1991,10,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",167,"H"," ","U",64,"H"," ","U",49,"H"," ","U",45,"H"," ","U",73,"H"," ","U",77,"H"," ","U",22,"H"," ","U",-6,"H"," ","U",-2,"H"," ","U",10,"H"," ","U",22,"H"," ","U",-6,"H"," ","U",-18,"H"," ","U",-26,"H"," ","U",-37,"H"," ","U",-49,"H"," ","U",2,"H"," ","U"
"3","USR0000OFIE",1991,10,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",218," "," ","U",125," "," ","U",83," "," ","U",97," "," ","U",121," "," ","U",140," "," ","U",79," "," ","U",16," "," ","U",20," "," ","U",29," "," ","U",36," "," ","U",17," "," ","U",-6," "," ","U",9," "," ","U",1," "," ","U",15," "," ","U",52," "," ","U"
"4","USR0000OFIE",1991,11,"TMAX",123,"H"," ","U",96,"H"," ","U",139,"H"," ","U",104,"H"," ","U",119,"H"," ","U",119,"H"," ","U",206,"H"," ","U",116,"H"," ","U",127,"H"," ","U",155,"H"," ","U",171,"H"," ","U",104,"H"," ","U",61,"H"," ","U",41,"H"," ","U",84,"H"," ","U",112,"H"," ","U",41,"H"," ","U",41,"H"," ","U",112,"H"," ","U",61,"H"," ","U",29,"H"," ","U",57,"H"," ","U",123,"H"," ","U",88,"H"," ","U",84,"H"," ","U",77,"H"," ","U",2,"H"," ","U",33,"H"," ","U",22,"H"," ","U",10,"H"," ","U",NA," "," "," "
"5","USR0000OFIE",1991,11,"TMIN",18,"H"," ","U",22,"H"," ","U",53,"H"," ","U",73,"H"," ","U",81,"H"," ","U",108,"H"," ","U",88,"H"," ","U",57,"H"," ","U",41,"H"," ","U",45,"H"," ","U",77,"H"," ","U",61,"H"," ","U",18,"H"," ","U",-14,"H"," ","U",-37,"H"," ","U",26,"H"," ","U",-2,"H"," ","U",-2,"H"," ","U",29,"H"," ","U",-2,"H"," ","U",-37,"H"," ","U",-53,"H"," ","U",18,"H"," ","U",49,"H"," ","U",41,"H"," ","U",-6,"H"," ","U",-10,"H"," ","U",-29,"H"," ","U",-64,"H"," ","U",-73,"H"," ","U",NA," "," "," "
"6","USR0000OFIE",1991,11,"TAVG",56," "," ","U",52," "," ","U",106," "," ","U",84," "," ","U",106," "," ","U",114," "," ","U",130," "," ","U",92," "," ","U",71," "," ","U",84," "," ","U",114," "," ","U",88," "," ","U",35," "," ","U",6," "," ","U",14," "," ","U",66," "," ","U",18," "," ","U",22," "," ","U",67," "," ","U",28," "," ","U",-1," "," ","U",-4," "," ","U",63," "," ","U",71," "," ","U",74," "," ","U",40," "," ","U",-5," "," ","U",-2," "," ","U",-26," "," ","U",-28," "," ","U",NA," "," "," "
"7","USR0000OFIE",1991,12,"TMAX",29,"H"," ","U",41,"H"," ","U",81,"H"," ","U",88,"H"," ","U",92,"H"," ","U",61,"H"," ","U",29,"H"," ","U",49,"H"," ","U",69,"H"," ","U",61,"H"," ","U",29,"H"," ","U",41,"H"," ","U",61,"H"," ","U",104,"H"," ","U",116,"H"," ","U",143,"H"," ","U",84,"H"," ","U",53,"H"," ","U",33,"H"," ","U",64,"H"," ","U",73,"H"," ","U",84,"H"," ","U",100,"H"," ","U",81,"H"," ","U",108,"H"," ","U",112,"H"," ","U",104,"H"," ","U",84,"H"," ","U",45,"H"," ","U",73,"H"," ","U",69,"H"," ","U"
"8","USR0000OFIE",1991,12,"TMIN",-22,"H"," ","U",18,"H"," ","U",-6,"H"," ","U",14,"H"," ","U",45,"H"," ","U",-2,"H"," ","U",-18,"H"," ","U",-14,"H"," ","U",-14,"H"," ","U",-10,"H"," ","U",-6,"H"," ","U",-22,"H"," ","U",-45,"H"," ","U",6,"H"," ","U",26,"H"," ","U",33,"H"," ","U",41,"H"," ","U",-14,"H"," ","U",-37,"H"," ","U",-37,"H"," ","U",18,"H"," ","U",6,"H"," ","U",14,"H"," ","U",18,"H"," ","U",33,"H"," ","U",77,"H"," ","U",77,"H"," ","U",-2,"H"," ","U",6,"H"," ","U",-14,"H"," ","U",-22,"H"," ","U"
"9","USR0000OFIE",1991,12,"TAVG",-3," "," ","U",26," "," ","U",28," "," ","U",51," "," ","U",66," "," ","U",42," "," ","U",2," "," ","U",7," "," ","U",22," "," ","U",13," "," ","U",20," "," ","U",24," "," ","U",1," "," ","U",42," "," ","U",55," "," ","U",68," "," ","U",59," "," ","U",9," "," ","U",-17," "," ","U",11," "," ","U",42," "," ","U",37," "," ","U",47," "," ","U",47," "," ","U",67," "," ","U",92," "," ","U",88," "," ","U",41," "," ","U",25," "," ","U",12," "," ","U",16," "," ","U"
"10","USR0000OFIE",1992,1,"TMAX",84,"H"," ","U",73,"H"," ","U",81,"H"," ","U",33,"H"," ","U",81,"H"," ","U",10,"H"," ","U",45,"H"," ","U",104,"H"," ","U",123,"H"," ","U",81,"H"," ","U",2,"H"," ","U",22,"H"," ","U",41,"H"," ","U",92,"H"," ","U",116,"H"," ","U",49,"H"," ","U",88,"H"," ","U",139,"H"," ","U",123,"H"," ","U",127,"H"," ","U",73,"H"," ","U",112,"H"," ","U",104,"H"," ","U",143,"H"," ","U",100,"H"," ","U",81,"H"," ","U",88,"H"," ","U",88,"H"," ","U",151,"H"," ","U",136,"H"," ","U",143,"H"," ","U"
