"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USS0015L01S",2012,1,"TMAX",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",112," "," ","T",-5," "," ","T",61," "," ","T",113," "," ","T",106," "," ","T",62," "," ","T",71," "," ","T",111," "," ","T",117," "," ","T",87," "," ","T",-10," "," ","T",21," "," ","T",91," "," ","T",91," "," ","T",71," "," ","T",21," "," ","T",-5," "," ","T",-31," "," ","T",26," "," ","T",107," "," ","T",83," "," ","T",1," "," ","T",82," "," ","T",82," "," ","T",67," "," ","T",71," "," ","T"
"2","USS0015L01S",2012,1,"TMIN",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",-96," "," ","T",-137," "," ","T",-157," "," ","T",-91," "," ","T",-97," "," ","T",-162," "," ","T",-157," "," ","T",-162," "," ","T",-132," "," ","T",-117," "," ","T",-214," "," ","T",-228," "," ","T",-61," "," ","T",-30," "," ","T",-57," "," ","T",-61," "," ","T",-162," "," ","T",-86," "," ","T",-214," "," ","T",-40," "," ","T",-46," "," ","T",-172," "," ","T",-181," "," ","T",-126," "," ","T",-116," "," ","T",-137," "," ","T"
"3","USS0015L01S",2012,1,"TOBS",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",5," "," ","T",-137," "," ","T",-30," "," ","T",-91," "," ","T",-10," "," ","T",-82," "," ","T",-157," "," ","T",-121," "," ","T",-91," "," ","T",-6," "," ","T",-213," "," ","T",-35," "," ","T",30," "," ","T",-26," "," ","T",-25," "," ","T",-61," "," ","T",-76," "," ","T",-56," "," ","T",15," "," ","T",35," "," ","T",-15," "," ","T",-172," "," ","T",-116," "," ","T",-101," "," ","T",-107," "," ","T",-31," "," ","T"
"4","USS0015L01S",2012,1,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",178," "," ","T",152," "," ","T",203," "," ","T",178," "," ","T",152," "," ","T",102," "," ","T",127," "," ","T",127," "," ","T",127," "," ","T",102," "," ","T",102," "," ","T"
"5","USS0015L01S",2012,1,"TAVG",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",-50," "," ","T",-40," "," ","T",-20," "," ","T",-10," "," ","T",-70," "," ","T",-70," "," ","T",-60," "," ","T",-40," "," ","T",-10," "," ","T",-100," "," ","T",-100," "," ","T",20," "," ","T",20," "," ","T",20," "," ","T",-30," "," ","T",-70," "," ","T",-50," "," ","T",-50," "," ","T",30," "," ","T",20," "," ","T",-80," "," ","T",-80," "," ","T",-50," "," ","T",-40," "," ","T",-50," "," ","T"
"6","USS0015L01S",2012,2,"TMAX",67," "," ","T",-9," "," ","T",41," "," ","T",46," "," ","T",46," "," ","T",57," "," ","T",41," "," ","T",77," "," ","T",102," "," ","T",112," "," ","T",87," "," ","T",11," "," ","T",-5," "," ","T",5," "," ","T",-15," "," ","T",56," "," ","T",83," "," ","T",51," "," ","T",-26," "," ","T",26," "," ","T",76," "," ","T",77," "," ","T",36," "," ","T",97," "," ","T",56," "," ","T",26," "," ","T",-20," "," ","T",-4," "," ","T",31," "," ","T",NA," "," "," ",NA," "," "," "
"7","USS0015L01S",2012,2,"TMIN",-81," "," ","T",-86," "," ","T",-146," "," ","T",-173," "," ","T",-167," "," ","T",-177," "," ","T",-167," "," ","T",-91," "," ","T",-97," "," ","T",-91," "," ","T",-77," "," ","T",-92," "," ","T",-102," "," ","T",-167," "," ","T",-153," ","I","T",-177," "," ","T",-176," "," ","T",-132," "," ","T",-152," "," ","T",-187," "," ","T",-41," "," ","T",-25," "," ","T",-106," "," ","T",-118," "," ","T",-77," "," ","T",-182," "," ","T",-71," "," ","T",-152," "," ","T",-72," "," ","T",NA," "," "," ",NA," "," "," "
"8","USS0015L01S",2012,2,"TOBS",-56," "," ","T",-66," "," ","T",-146," "," ","T",-146," "," ","T",-152," "," ","T",-157," "," ","T",-35," "," ","T",-91," "," ","T",-46," "," ","T",-81," "," ","T",-31," "," ","T",-86," "," ","T",-31," "," ","T",-167," ","I","T",-66," "," ","T",-162," "," ","T",-101," "," ","T",-81," "," ","T",-127," "," ","T",-26," "," ","T",25," "," ","T",31," "," ","T",-101," "," ","T",-31," "," ","T",-77," "," ","T",-20," "," ","T",-61," "," ","T",-50," "," ","T",-51," "," ","T",NA," "," "," ",NA," "," "," "
"9","USS0015L01S",2012,2,"SNWD",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",76," "," ","T",76," "," ","T",51," "," ","T",229," "," ","T",203," "," ","T",203," "," ","T",178," "," ","T",152," "," ","T",152," "," ","T",152," "," ","T",152," "," ","T",102," "," ","T",102," "," ","T",102," "," ","T",76," "," ","T",76," "," ","T",76," "," ","T",203," "," ","T",178," "," ","T",178," "," ","T",NA," "," "," ",NA," "," "," "
"10","USS0015L01S",2012,2,"TAVG",-10," "," ","T",-50," "," ","T",-70," "," ","T",-90," "," ","T",-90," "," ","T",-90," "," ","T",-50," "," ","T",-10," "," ","T",-20," "," ","T",-10," "," ","T",0," "," ","T",-30," "," ","T",-40," "," ","T",-60," "," ","T",-60," "," ","T",-80," "," ","T",-70," "," ","T",-50," "," ","T",-80," "," ","T",-70," "," ","T",20," "," ","T",40," "," ","T",-10," "," ","T",-20," "," ","T",10," "," ","T",-40," "," ","T",-40," "," ","T",-70," "," ","T",-20," "," ","T",NA," "," "," ",NA," "," "," "
