"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USS0017J02S",2011,9,"TOBS",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",180," "," ","T",NA," "," "," "
"2","USS0017J02S",2011,9,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",NA," "," "," "
"3","USS0017J02S",2011,9,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","T",NA," "," "," "
"4","USS0017J02S",2011,10,"TMAX",216," "," ","T",203," "," ","T",204," "," ","T",116," "," ","T",68," "," ","T",45," "," ","T",87," "," ","T",92," "," ","T",125," "," ","T",96," "," ","T",134," "," ","T",150," "," ","T",188," "," ","T",205," "," ","T",210," "," ","T",177," "," ","T",132," "," ","T",165," "," ","T",157," "," ","T",157," "," ","T",163," "," ","T",160," "," ","T",175," "," ","T",148," "," ","T",53," "," ","T",44," "," ","T",89," "," ","T",113," "," ","T",133," "," ","T",134," "," ","T",139," "," ","T"
"5","USS0017J02S",2011,10,"TMIN",135," "," ","T",97," "," ","T",88," "," ","T",53," "," ","T",3," "," ","T",-5," "," ","T",13," "," ","T",1," "," ","T",16," "," ","T",44," "," ","T",86," "," ","T",46," "," ","T",89," "," ","T",96," "," ","T",119," "," ","T",36," "," ","T",16," "," ","T",48," "," ","T",64," "," ","T",66," "," ","T",69," "," ","T",60," "," ","T",65," "," ","T",8," "," ","T",-37," "," ","T",-60," "," ","T",-16," "," ","T",18," "," ","T",49," "," ","T",33," "," ","T",11," "," ","T"
"6","USS0017J02S",2011,10,"TOBS",149," "," ","T",143," "," ","T",112," "," ","T",55," "," ","T",4," "," ","T",15," "," ","T",39," "," ","T",34," "," ","T",87," "," ","T",94," "," ","T",86," "," ","T",104," "," ","T",118," "," ","T",126," "," ","T",146," "," ","T",37," "," ","T",52," "," ","T",100," "," ","T",68," "," ","T",120," "," ","T",72," "," ","T",78," "," ","T",136," "," ","T",17," "," ","T",-27," "," ","T",-6," "," ","T",30," "," ","T",91," "," ","T",53," "," ","T",97," "," ","T",19," "," ","T"
"7","USS0017J02S",2011,10,"PRCP",25," "," ","T",25," "," ","T",0," "," ","T",76," "," ","T",229," "," ","T",51," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",102," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",51," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
"8","USS0017J02S",2011,10,"SNWD",0," "," ","T",0," "," ","T",0," "," ","T",25," "," ","T",25," "," ","T",25," "," ","T",25," "," ","T",25," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
"9","USS0017J02S",2011,10,"TAVG",174," "," ","T",152," "," ","T",151," "," ","T",81," "," ","T",37," "," ","T",14," "," ","T",46," "," ","T",46," "," ","T",72," "," ","T",80," "," ","T",106," "," ","T",98," "," ","T",136," "," ","T",145," "," ","T",158," "," ","T",126," "," ","T",71," "," ","T",108," "," ","T",114," "," ","T",110," "," ","T",111," "," ","T",102," "," ","T",118," "," ","T",102," "," ","T",9," "," ","T",-6," "," ","T",35," "," ","T",68," "," ","T",93," "," ","T",86," "," ","T",89," "," ","T"
"10","USS0017J02S",2011,10,"WESD",0," "," ","T",0," "," ","T",0," "," ","T",51," "," ","T",76," "," ","T",102," "," ","T",76," "," ","T",76," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T",0," "," ","T"
