"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USW00012832",1998,8,"TMAX",322," "," ","W",317," "," ","W",311," "," ","W",311," "," ","W",317," "," ","W",311," "," ","W",294," "," ","W",317," "," ","W",311," "," ","W",317," "," ","W",333," "," ","W",328," "," ","W",344," "," ","W",333," "," ","W",333," "," ","W",328," "," ","W",328," "," ","W",317," "," ","W",NA," "," "," ",328," "," ","W",317," "," ","W",317," "," ","W",311," "," ","W",317," "," ","W",NA," "," "," ",356," "," ","W",344," "," ","W",333," "," ","W",333," "," ","W",339," "," ","W",333," "," ","W"
"2","USW00012832",1998,8,"TMIN",244," "," ","W",228," "," ","W",222," "," ","W",228," "," ","W",233," "," ","W",233," "," ","W",239," "," ","W",250," "," ","W",239," "," ","W",233," "," ","W",239," "," ","W",250," "," ","W",222," "," ","W",233," "," ","W",233," "," ","W",239," "," ","W",233," "," ","W",239," "," ","W",NA," "," "," ",228," "," ","W",233," "," ","W",239," "," ","W",239," "," ","W",233," "," ","W",NA," "," "," ",228," "," ","W",239," "," ","W",239," "," ","W",239," "," ","W",233," "," ","W",228," "," ","W"
"3","USW00012832",1998,8,"PRCP",5," "," ","W",399," "," ","W",53," "," ","W",0," "," ","W",0," "," ","W",43," "," ","W",36," "," ","W",30," "," ","W",5," "," ","W",36," "," ","W",130," "," ","W",8," "," ","W",0," "," ","W",290," "," ","W",0,"T"," ","W",36," "," ","W",3," "," ","W",18," "," ","W",0," "," ","W",56," "," ","W",0,"T"," ","W",0,"T"," ","W",3," "," ","W",0," "," ","W",3," "," ","W",0," "," ","W",0," "," ","W",0," "," ","W",0," "," ","W",0," "," ","W",0," "," ","W"
"4","USW00012832",1998,8,"AWND",22," "," ","W",42," "," ","W",34," "," ","W",29," "," ","W",31," "," ","W",34," "," ","W",38," "," ","W",30," "," ","W",22," "," ","W",18," "," ","W",28," "," ","W",25," "," ","W",22," "," ","W",16," "," ","W",30," "," ","W",32," "," ","W",15," "," ","W",22," "," ","W",NA," "," "," ",39," "," ","W",43," "," ","W",36," "," ","W",24," "," ","W",22," "," ","W",25," "," ","W",21," "," ","W",30," "," ","W",27," "," ","W",22," "," ","W",21," "," ","W",25," "," ","W"
"5","USW00012832",1998,8,"FMTM",1307," "," ","W",2240," "," ","W",1303," "," ","W",1359," "," ","W",1324," "," ","W",2338," "," ","W",819," "," ","W",1341," "," ","W",1358," "," ","W",1531," "," ","W",1359," "," ","W",1526," "," ","W",1522," "," ","W",1616," "," ","W",1347," "," ","W",1428," "," ","W",1507," "," ","W",1625," "," ","W",NA," "," "," ",1306," "," ","W",1449," "," ","W",1301," "," ","W",859," "," ","W",1205," "," ","W",1348," "," ","W",1730," "," ","W",1510," "," ","W",1514," "," ","W",1540," "," ","W",1625," "," ","W",1641," "," ","W"
"6","USW00012832",1998,8,"PGTM",1308," "," ","W",2238," "," ","W",938," "," ","W",1448," "," ","W",1301," "," ","W",2338," "," ","W",818," "," ","W",507," "," ","W",1240," "," ","W",1617," "," ","W",1403," "," ","W",1525," "," ","W",1521," "," ","W",1614," "," ","W",1304," "," ","W",1421," "," ","W",1517," "," ","W",1625," "," ","W",NA," "," "," ",1930," "," ","W",947," "," ","W",1404," "," ","W",1111," "," ","W",1405," "," ","W",1348," "," ","W",1729," "," ","W",1529," "," ","W",1518," "," ","W",1307," "," ","W",1611," "," ","W",1640," "," ","W"
"7","USW00012832",1998,8,"TAVG",283," "," ","W",272," "," ","W",267," "," ","W",272," "," ","W",278," "," ","W",272," "," ","W",267," "," ","W",283," "," ","W",278," "," ","W",278," "," ","W",289," "," ","W",289," "," ","W",283," "," ","W",283," "," ","W",283," "," ","W",283," "," ","W",283," "," ","W",278," "," ","W",NA," "," "," ",278," "," ","W",278," "," ","W",278," "," ","W",278," "," ","W",278," "," ","W",NA," "," "," ",294," "," ","W",294," "," ","W",289," "," ","W",289," "," ","W",289," "," ","W",283," "," ","W"
"8","USW00012832",1998,8,"WDF2",250," "," ","W",40," "," ","W",100," "," ","W",110," "," ","W",90," "," ","W",160," "," ","W",220," "," ","W",210," "," ","W",180," "," ","W",210," "," ","W",260," "," ","W",190," "," ","W",10," "," ","W",180," "," ","W",250," "," ","W",330," "," ","W",330," "," ","W",20," "," ","W",NA," "," "," ",80," "," ","W",90," "," ","W",130," "," ","W",100," "," ","W",150," "," ","W",20," "," ","W",250," "," ","W",250," "," ","W",200," "," ","W",160," "," ","W",200," "," ","W",200," "," ","W"
"9","USW00012832",1998,8,"WDF5",240," "," ","W",50," "," ","W",80," "," ","W",130," "," ","W",80," "," ","W",170," "," ","W",200," "," ","W",170," "," ","W",140," "," ","W",20," "," ","W",260," "," ","W",180," "," ","W",10," "," ","W",190," "," ","W",250," "," ","W",330," "," ","W",320," "," ","W",10," "," ","W",NA," "," "," ",130," "," ","W",70," "," ","W",110," "," ","W",110," "," ","W",130," "," ","W",20," "," ","W",250," "," ","W",240," "," ","W",210," "," ","W",190," "," ","W",230," "," ","W",200," "," ","W"
"10","USW00012832",1998,8,"WSF2",67," "," ","W",89," "," ","W",67," "," ","W",72," "," ","W",67," "," ","W",89," "," ","W",112," "," ","W",72," "," ","W",58," "," ","W",63," "," ","W",98," "," ","W",98," "," ","W",80," "," ","W",98," "," ","W",67," "," ","W",94," "," ","W",49," "," ","W",116," "," ","W",NA," "," "," ",89," "," ","W",67," "," ","W",67," "," ","W",63," "," ","W",63," "," ","W",58," "," ","W",58," "," ","W",67," "," ","W",67," "," ","W",58," "," ","W",63," "," ","W",63," "," ","W"
